"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"8582_430.914_6.275",0.00179961174801895,0.00170988868041078,0.00186745153801852,0.000442608630643416,0.000269065936518582,0.000374216129691804,0.000298789844447855,0.00053271231914588,0.00051345667204193,0.000421026617207561,0.000409847731399394,0.000373203004280572,0.000628009255496019,0.000323314967606176,0.000477861664968508,0.00040207995961805,0.000378681863676158,0.000362378736045186,0.000487423102095863,0.000389661092891786,0.000435086724061714,0.000416972024795066,0.000410168619312052,0.000420664743801021,0.000209931329031084,0.000341209301008668,0.000201081721889785,0.000348762125232312,0.000409464149093906,0.000310627082741804,0.000363734361215071,0.00033163641476632,0.000468077100195854,0.00035860940186158,0.000382545286595525,0.00065556457930577,0.000523377413992792,0.00035863538630626,0.000101985345940538,0.00026156346641808
"8592_488.301_6.29",1.67448900316548e-05,0.0003127594907637,1.72502003266012e-05,3.70568013046884e-05,7.40856682466644e-05,4.00582078307255e-06,3.56920873538429e-05,5.10928399770941e-06,3.87976920818756e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,3.49897115796977e-06,3.5542906387005e-06,3.45071643048486e-06,4.07379824713102e-06,3.56298929996408e-06,3.53097883144433e-06,3.70565443263409e-06,3.41473492010482e-06,4.09496239487045e-06,3.49591839256247e-06,4.19499764556297e-06,3.84083298719294e-06,4.06632922014098e-06,4.82326404439524e-06,3.65891083511998e-06,4.11471625328757e-06,4.02499743716103e-06,3.87465406031185e-06,3.78642495550139e-06,4.5090053920905e-06,4.65054673132766e-06,3.71325841548546e-06,3.9652444466132e-06,3.62709590817036e-06,3.54886317450509e-06
"8594_634.876_6.267",0.00063594517913425,0.000413811327313605,0.000633627249445334,0.00013078200822965,5.98525100519131e-05,0.000115793227759477,0.000100382846134986,0.000187510342843519,0.000155367737725958,0.000107030669058944,0.000137334748890815,0.000134281401129386,0.000212466060733223,0.000120236719849839,0.000140710061625694,0.000135862104833331,0.000142215200056461,0.000135205263809878,3.82318447464086e-05,6.15840883575463e-05,0.000100427901154021,7.73559692307721e-05,0.000105569866811415,0.000188967269867728,7.06724131274785e-05,3.81143205706809e-05,0.000141946539756734,6.36123219114263e-05,0.00012567435062444,7.04964468612557e-05,0.000116327114789199,0.000107947305104939,0.000113345123533334,7.17388177368408e-05,0.000132303784574908,0.000104249797056495,6.7060697627216e-05,0.000114002678335675,6.72539089691088e-05,3.47239299454016e-05
"8596_270.315_6.298",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,1.14641340933429e-05,3.25507392755179e-05,6.35376572956674e-06,1.23175291086247e-05,5.10928399770941e-06,3.87976920818756e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,0.000320543959067946,3.50921594886171e-06,4.14301433439651e-06,3.49897115796977e-06,3.5542906387005e-06,4.97244535855285e-06,4.07379824713102e-06,3.56298929996408e-06,3.53097883144433e-06,3.70565443263409e-06,5.11039018393764e-06,4.09496239487045e-06,3.49591839256247e-06,4.19499764556297e-06,4.82606070155405e-06,4.06632922014098e-06,4.82326404439524e-06,1.64885134556306e-05,1.52390909225581e-05,4.02499743716103e-06,3.87465406031185e-06,3.78642495550139e-06,4.5090053920905e-06,4.65054673132766e-06,4.24076739641279e-06,3.9652444466132e-06,4.43566727477133e-06,2.28557804426049e-05
"8600_366.3_6.211",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,9.33484068892537e-06,8.60597997722878e-06,6.1292036286425e-06,9.54564336137868e-06,6.03930121388939e-06,3.87976920818756e-06,3.80792602665738e-06,6.62857237395288e-06,7.66134414956769e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,3.49897115796977e-06,5.92995953154901e-06,6.03994519428705e-06,4.07379824713102e-06,5.16014258476962e-06,1.00039981031419e-05,4.88399379883159e-06,1.05742589290154e-05,4.36362063403004e-06,5.56011199860513e-06,5.69735484803873e-06,6.12572923321379e-06,6.62119112813464e-06,4.82326404439524e-06,8.98338974969285e-06,4.11471625328757e-06,4.02499743716103e-06,3.87465406031185e-06,9.33690769493144e-06,4.5090053920905e-06,4.65054673132766e-06,6.06632937027758e-06,6.36585808042044e-06,5.84711167811022e-06,7.36060042586456e-06
"8602_828.809_6.27",0.000273775919618458,0.000100532236715224,0.000173380943571395,1.07678629474775e-05,5.08763544394998e-06,3.07415823908528e-05,1.01641906948421e-05,1.20496764999734e-05,2.7229834641443e-05,2.88047025321789e-05,3.61527580828597e-05,4.13856801622472e-05,4.0658045331522e-05,3.11895311728915e-05,2.10278879560998e-05,1.53166393981064e-05,4.03124133364838e-05,2.69794758909512e-05,3.74975442349594e-05,1.25565059977964e-05,2.08612113925579e-05,1.52251919201337e-05,3.25333356611151e-05,3.86578694368753e-05,1.51049935719433e-05,9.54711176198259e-06,1.50240617678053e-05,2.22872923959317e-05,1.44709576059102e-05,2.09580751260864e-05,9.75222824358344e-06,1.85304073925727e-05,2.96976646625449e-05,1.61838307688268e-05,1.51561823231278e-05,1.91523876015426e-05,6.90492431502555e-06,1.26632029278914e-05,5.80166896269992e-06,7.47389142766211e-06
"8604_600.425_6.309",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,5.86916454563649e-05,5.0357269959987e-05,8.09322692458441e-05,2.64110510921764e-05,4.61590665324733e-05,4.3204392876522e-05,5.09221591502394e-05,1.86167162628734e-05,4.69873172244197e-05,6.83050861710967e-05,3.4838659170272e-05,4.38533930882196e-05,3.24009560521156e-05,4.577916904806e-05,4.86705006980709e-05,3.65593580178763e-05,1.35640410352585e-05,3.31817060016027e-05,3.87908673509586e-05,3.99072743756264e-05,1.6152981486292e-05,1.23854967468613e-05,2.35570438099725e-05,3.3476884912967e-05,2.84630541933403e-05,1.92757124065536e-05,1.13335414065866e-05,1.03940584233408e-05,1.7775382640978e-05,1.41911046602779e-05,1.23246322539244e-05,1.04566588816451e-05,4.90768763598985e-06,7.73933400539323e-06,1.07411133303098e-05,6.95329791768355e-06,8.09843791553539e-06
"8610_498.901_6.277",0.00113974142910121,0.000916054530535529,0.00120520100277209,0.000280839826845648,0.000158797159818155,0.000260365831380168,0.000226976739854597,0.00034063808055932,0.000291449117992986,0.00015427321897607,0.000247655937628367,0.00023150868050748,0.000410676676434678,0.00020418219248948,0.000280628693102076,0.000190240622738143,0.000243231329998334,0.00023484740377079,0.000326143592953575,0.000119898690314377,0.000163115123524535,0.000276860522234295,0.000268385035309288,0.000259200354824267,0.000237778556192827,0.00019125393047098,0.000143911687778429,0.000123043887277849,0.000218341453239441,0.000193265594008184,0.000364611999817731,0.000206601387037938,0.000205732998431308,0.000202828992041179,0.000272474789805834,0.000251077325241472,0.000109698720806502,5.2242211403802e-05,0.00010229077900622,0.000156047207766962
"8611_488.872_6.284",0.000722133164547685,0.000516471909875545,0.000729605101290647,0.000156897003049496,3.20500005987722e-05,0.000120048109332873,0.000112503105083063,0.000198273661450622,0.000143468631854204,0.000145543037937907,0.000173881409282679,0.000147448356890746,0.000343518167464959,0.000111419651710668,0.000179389506377915,6.5878147691129e-05,0.000191375598066531,0.000141041775892877,0.000170592216262153,0.000138974482793542,0.000146547735218828,0.000224214262158528,9.71250623296317e-05,0.000132042599573799,0.000148590177462017,7.27536703965173e-05,7.32390145847792e-05,0.000147230465307129,0.000169977472984615,7.42338309380519e-05,0.000140822212941902,0.000141326081946447,0.000132708023013616,0.000135277411343883,0.000166312173517843,0.000175880775417894,0.000110213903366802,0.000125803676447399,0.000120560237652697,0.000116317957807804
"8612_753.466_6.276",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,4.94384924660252e-06,4.00582078307255e-06,4.96325208185873e-06,5.10928399770941e-06,3.87976920818756e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,3.49897115796977e-06,3.5542906387005e-06,3.45071643048486e-06,4.07379824713102e-06,3.56298929996408e-06,3.53097883144433e-06,3.70565443263409e-06,3.41473492010482e-06,4.09496239487045e-06,3.49591839256247e-06,4.19499764556297e-06,3.84083298719294e-06,4.06632922014098e-06,2.30857029376307e-05,4.076199608754e-05,7.7903668248643e-06,1.70242770783377e-05,1.74486104888198e-05,2.55348918105715e-05,4.5090053920905e-06,4.65054673132766e-06,2.54030318573477e-05,1.76940399599933e-05,1.88057160121421e-05,2.00038146726361e-05
"8616_556.86_6.273",0.000517820784550085,0.000573472179987849,0.000585714108059163,0.000115840832648019,3.342913762477e-05,0.000101526910812281,8.46342021478389e-05,0.000155884322604474,0.000160579918168271,9.32647131327455e-05,0.000135034350681128,0.000116214393509349,0.000277393171420434,9.14921645372712e-05,0.000129194269454854,5.64804769795783e-05,0.000121408339243443,7.38979628263343e-05,4.22038294075549e-05,5.66662075688446e-05,6.6330965626827e-05,0.000116495335374355,0.000103260414305784,8.7579991547472e-05,0.000112744250030154,0.000115314525840147,0.000127547449643307,2.9098656218319e-05,0.000114711082978183,9.41472442718861e-05,0.000213119160738606,4.93479434857182e-05,0.000105581405321163,9.91094620713109e-05,0.000104149296291409,0.00011467995830598,2.97241347023237e-05,0.000117722916792776,5.27857768550918e-05,7.30816941201265e-05
"8619_1102.635_6.302",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,4.94384924660252e-06,4.00582078307255e-06,4.96325208185873e-06,1.16553743587205e-05,3.87976920818756e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,4.06143467381173e-06,3.5542906387005e-06,3.45071643048486e-06,4.07379824713102e-06,1.84368234240794e-05,4.46164434134116e-06,1.2060367223397e-05,3.41473492010482e-06,1.239021775079e-05,3.49591839256247e-06,4.19499764556297e-06,1.33870867141896e-05,4.06632922014098e-06,4.82326404439524e-06,3.65891083511998e-06,4.11471625328757e-06,4.02499743716103e-06,3.87465406031185e-06,3.78642495550139e-06,4.5090053920905e-06,4.65054673132766e-06,3.71325841548546e-06,3.9652444466132e-06,3.62709590817036e-06,3.54886317450509e-06
"8620_254.248_6.28",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,5.88447645841812e-05,6.74862858817977e-05,6.11883955127076e-05,6.98262618048761e-05,8.15735950787631e-05,4.94316717663769e-05,5.23588413079506e-05,5.61333038176877e-05,6.90173774792381e-05,0.000104217297883816,5.10076539946503e-05,5.6257151162715e-05,4.42656550729257e-05,6.14058258552165e-05,6.53155142809074e-05,5.74380023998253e-05,4.12256500053961e-05,4.8972810580164e-05,5.106233092806e-05,5.14795362814971e-05,5.03526079517597e-05,3.71232613784542e-05,5.49055126654988e-05,5.90439832569535e-05,4.63020253656333e-05,4.12111180991663e-05,2.59374379147648e-05,3.67756534593517e-05,3.65416008034771e-05,3.62570805136247e-05,2.23858209076701e-05,2.83830874336609e-05,1.64487207599078e-05,1.64818368165781e-05,2.62083389739143e-05,1.35022853999782e-05,1.86591234648106e-05
"8621_702.863_6.264",0.000475023451180306,0.000361864924633139,0.00049041870638556,6.75979706413247e-05,2.48230316227065e-05,8.20418582017841e-05,4.27071077818537e-05,0.000128282657175638,8.16559860562493e-05,6.51120972044098e-05,9.50249277252322e-05,8.93682711510561e-05,0.000124258185214553,6.58713378947641e-05,0.000102210654278646,5.58878166736947e-05,5.53229424498562e-05,8.45469552798713e-05,0.000121626044023983,1.75268628259329e-05,4.41589828848213e-05,7.37815575459406e-05,7.14883052078517e-05,0.000111888284191557,4.93339343571605e-05,2.75932085521152e-05,4.83030315961569e-05,3.3652225833018e-05,5.69156811965884e-05,4.70977975683143e-05,6.34402461362626e-05,5.76109821370282e-05,8.40646838011682e-05,5.25330568956351e-05,4.64100885966527e-05,9.94731199897612e-05,4.5237245896401e-05,5.08340652884393e-05,4.27027959891225e-05,2.26203709481246e-05
"8622_493.28_6.272",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,4.94384924660252e-06,4.00582078307255e-06,1.47878514286018e-05,5.10928399770941e-06,7.66916668229391e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,1.5417472202629e-05,3.5542906387005e-06,1.24989457217536e-05,4.07379824713102e-06,3.56298929996408e-06,3.53097883144433e-06,3.70565443263409e-06,1.39693015461476e-05,4.09496239487045e-06,3.49591839256247e-06,1.24100405932981e-05,3.84083298719294e-06,4.06632922014098e-06,4.82326404439524e-06,1.08594316713803e-05,4.11471625328757e-06,4.02499743716103e-06,7.44579543879335e-06,3.78642495550139e-06,4.5090053920905e-06,4.65054673132766e-06,3.71325841548546e-06,3.9652444466132e-06,3.77682620267544e-06,1.49957948466136e-05
"8623_1080.653_6.292",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,4.94384924660252e-06,4.00582078307255e-06,4.96325208185873e-06,3.14464966052169e-05,5.78217540656378e-06,3.80792602665738e-06,4.36951164726367e-06,5.56801505229224e-06,1.3715853888789e-05,3.50921594886171e-06,4.14301433439651e-06,9.69818457854574e-06,3.5542906387005e-06,3.45071643048486e-06,4.07379824713102e-06,4.46526714330171e-05,1.16956285551234e-05,3.1168797667876e-05,3.41473492010482e-06,2.80279342291207e-05,3.49591839256247e-06,4.19499764556297e-06,3.21056269667553e-05,4.06632922014098e-06,4.82326404439524e-06,3.65891083511998e-06,4.11471625328757e-06,4.02499743716103e-06,3.87465406031185e-06,3.78642495550139e-06,8.81350116893326e-06,5.75901220097692e-06,3.71325841548546e-06,3.9652444466132e-06,3.62709590817036e-06,3.54886317450509e-06
"8625_242.248_6.328",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,6.36189744940011e-05,0.000275330814840293,0.000204808022240341,0.000240314300294424,0.000316889732385304,0.000165875009876085,5.92719055267385e-05,0.000223122788890335,0.0002439774943939,0.000108252045861546,0.00017935052943679,0.000224760298818142,5.29896103158759e-05,0.000183512876725996,7.29148247607913e-05,5.90910060746589e-05,5.26256887698669e-05,0.000198351254457938,0.000189313166933994,0.00020466736018559,0.000201042222270189,0.00011740732802774,0.000202729231797343,0.000237913362283963,0.000188789710418865,0.000180916881739241,0.00013993732806507,0.000151091681559328,0.000177584073265079,0.00014947785707677,2.6894113805551e-05,3.81390976425978e-05,0.000133815456494977,2.15508210638854e-05,9.44337389774772e-05,7.08341203767986e-05,2.41692000029407e-05
"8626_566.888_6.274",0.000964989337925716,0.000698424278345785,0.000877234202855784,0.000178305201228345,0.000131202512576833,0.000200567479080158,8.56455866662668e-05,0.000268166333037301,0.000222956387357078,0.000116812852857769,0.000180021837822521,0.000176819736734091,0.000279951510389339,0.000156845282740639,0.000186349803463001,0.000165667365019429,0.000203967724973315,0.000161169907455432,0.000214427475305179,9.73183364508608e-05,0.000119232262996813,0.000203185234119773,0.000140637752744523,0.000191355254908486,0.000114733163962802,7.34022776294071e-05,5.83986560036401e-05,8.13963468911132e-05,0.000166735811779869,0.000143208400181052,0.000170768711387645,0.000151654197582115,0.000151382374038423,0.000156198022531372,0.000178291221563106,0.000185941083600646,8.10726181123352e-05,0.000144396271754435,4.75997424124549e-05,5.74710780465583e-05
