"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"4365_241.142_4.513",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4855.86,11844.736,3766,3766,3766,10256.099,12955.544,6561.1196,9126.023,10306.596,9631.883,9559.331
"4366_439.263_4.517",3766,3766,3766,21562.947,27661.082,13600.477,26973.148,3766,13396.685,8058.7236,12637.045,10759.516,3766,7486.8984,7468.6606,8033.5645,11036.33,10713.319,5960.767,6448.369,5375.446,6066.4805,6754.078,5527.108,6898.5127,3766,5579.305,3766,3766,3931.0857,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4368_262.12_4.511",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5902.1426,3766,3766,3766,5729.9893,7718.5244,4844.388,5908.669,5687.2173,6400.331,5807.642
"4369_313.227_4.514",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7743.055,14437.451,3766,3766,3766,12905.934,18603.809,8693.559,12264.606,12791.874,10808.98,11740.915
"4370_240.138_4.514",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,35756.16,68635.336,14433.551,11389.574,15954.43,61825.734,82082.24,44505.086,59056.016,60170.305,58665.668,59356.305
"4371_320.222_4.517",3766,3766,3766,5727.5513,5556.4756,4548.5327,7049.469,3766,6321.133,8718.717,4791.485,5783.9946,3766,9315.672,8307.488,11154.073,7371.1826,8106.4287,7459.9375,11730.339,11333.658,9609.703,13031.924,9830.602,12589.832,10079.607,17114.629,10286.769,8805.714,6861.0767,3766,9361.663,6367.5513,4482.883,6463.069,3766,3766,7429.156,3766,3766
"4373_360.134_4.51",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3877.1028,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4375_221.19_4.52",3766,3766,3766,6214.1143,6770.837,7045.8345,7315.0107,3905.9912,7045.4644,6899.492,7545.439,7833.522,3766,8606.01,7085.919,8642.392,8527.166,7819.6206,7641.648,8451.967,6855.467,7448.646,8013.5977,7104.9126,7479.7373,6792.7056,8815.389,7811.858,6999.7637,8632.142,6141.6367,7907.0015,7549.5347,8522.262,8232.818,7413.01,8124.1055,7329.0854,8195.708,8305.045
"4376_337.048_4.517",3766,3766,3766,6596.8687,5099.119,6865.9663,6338.1455,3766,6785.5,7783.615,7642.829,7517.034,3766,7803.876,8201.743,8291.807,7388.5615,8562.787,7383.5522,8373.563,8341.212,7742.048,8385.757,7476.48,8676.632,6952.736,8337.838,7870.5264,7843.654,8358.843,7695.0566,7396.07,8196.883,7881.2104,9385.79,8370.303,8277.423,8247.6875,9399.205,9643.81
"4380_289.097_4.529",3766,3766,3766,7731.946,10456.064,7858.85,9020.821,3766,7724.266,7184.926,8105.7114,7467.29,3766,6620.183,6241.888,6233.1743,7728.0234,7027.119,6450.317,6153.3687,6662.6055,6196.286,6646.2324,5559.828,6857.804,6148.408,7312.0566,6016.556,6059.2554,6095.3315,4334.406,6151.193,6221.6,6471.024,7132.909,6131.263,6284.4517,7235.052,6850.1562,6606.166
"4402_306.137_4.544",3766,3766,3766,3766,3766,20056.53,3766,9583.883,24069.168,19414.418,3766,22120.736,8890.647,21577.63,3766,21587.076,22986.543,25893.93,3766,19452.846,18390.945,18218.758,23280.07,3766,22278.63,17530.973,3766,17433.994,3766,20596.12,15408.655,15721.182,19298.58,18666.857,3766,3766,17890.164,16649.795,19396.85,21619.982
"4403_381.156_4.546",3766,3766,3766,19349.963,23232.479,19029.932,18329.926,6799.494,19069.086,6917.0996,22937.463,15906.181,4164.553,7519.763,12361.59,6437.45,13598.575,15571.809,8564.675,5669.133,5317.6636,8329.367,6240.806,6815.355,6930.473,3766,5146.9995,3967.1238,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4404_475.205_4.537",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10326.885,3766,3766,3766,5314.8076,3766,4331.5967,7022.0107,5388.708,4919.4697,5468.0347
"4409_377.194_4.555",3766,3766,3766,10774.749,9620.027,11136.609,10241.25,7175.206,11976.138,11628.305,10640.153,16236.072,6345.2705,13288.675,13359.541,14042.123,16381.744,17947.113,12128.397,10199.861,11793.612,12926.656,13048.331,9543.066,11888.502,7764.5747,11944.044,8193.536,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4410_379.184_4.551",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,108383.445,160030.1,97383.836,66376.86,81209.83,140347.52,203630.7,173205.64,221631.88,145037.58,199566.39,226174.38
"4411_428.301_4.551",3766,3766,3766,7037.777,8292.37,4276.7095,7611.9966,3766,5222.863,3766,4120.8765,5458.7334,3766,3766,3766,3766,5192.213,5364.7207,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4412_469.198_4.514",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7325.934,3766,3766,4795.508,7274.305,3766,4103.1494,4006.454,8590.898,3766,12580.876,10611.997
"4413_353.165_4.561",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,41809.746,3766,3766,3766,3766,3766,60454.49,95210.24,5003.3384,3766,3766,3766
"4417_236.107_4.576",3766,3766,3766,3766,3766,3766,3766,10371.968,3766,3766,3766,3766,8516.141,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4419_448.143_4.606",3766,3766,3766,3766,3766,3766,3766,24130.44,3766,3766,3766,5861.8296,19380.795,3766,3766,3766,4145.9644,5578.409,3766,4826.071,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
