"","t2_Ec_C.mzML","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t1_BS_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t0_BS_2.mzML","t4_Ec_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t2_Ec_3.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t2_Ec_2.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_Ec_C.mzML","t4_BS_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t7_BS_1.mzML","t5_Ec_2.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_Ec_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_Ec_3.mzML","t5_BS_1.mzML","t6_Ec_2.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t7_BS_3.mzML","t8_Ec_C.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t8_BS_C.mzML","t9_Ec_2.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"4889_225.185_5.006",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6554.492,3766,6181.9717,3766,3766,3766,3766,3766,3766,3766,3766,7900.906,9658.117,9838.943,22380.02
"4892_379.331_4.963",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,15404.5,3766,3766,3766,3766,3766,3766,3766,3766,3766,110326.266,76678.234,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4896_475.238_5.016",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,36164.86,9024.479,3766,3766,3766,8352.482,3766,69244.484,3766,3766,3766,3766,3766,3766,3766,67863.6,26922.584,3766,47077.71,3766,33027.617,3766,3766,3766,3766
"4897_411.321_5.009",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4024.8481,3766,3766,3766,332843.38,3766,3766,3766,3766,3766,3766,3766,3766,3766,320176.47,297242.62,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4899_362.233_5.022",3766,3766,3766,3766,3766,3766,3766,3766,29832.656,31454.412,29576.55,3766,3766,30066.285,3766,3766,3766,3766,3766,21308.596,31324.395,3766,3766,3766,18228.795,3766,28045.086,23199.16,24012.41,3766,35135.176,27713.963,3766,18746.256,27989.406,28458.45,3766,15487.355,3766,3766,3766,4777.2856,3766,25177.541,16602.385,3766,17545.518,14327.609,3766,13658.35,3766,19451.463,17413.262,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4943.893,3766,3766,3766,3766,26137.465,28389.166,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4900_427.175_5.02",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,38725.875,3766,3766,3766,3766,3766,3766,3766,3766,3766,41739.344,40609.223,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4901_437.337_5.021",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,87815.9,3766,3766,3766,3766,3766,3766,3766,3766,3766,74366.195,97199.016,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4902_368.279_5.058",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9367.563,3766,3766,3766,3766,3766,3766,3766,3766,3766,6508.315,8435.576,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4903_435.322_5.022",3766,3766,3766,3766,3766,3766,3766,3766,5816.5386,6392.308,3766,3766,3766,4897.1084,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7411.298,3766,3766,3766,3766,3766,4100.4204,3900.366,3766,3766,9421.804,8050.049,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4904_353.183_5.027",3766,3766,3766,3766,3766,3766,8208.665,7860.051,10169,9057.801,10804.007,9904.734,8038.6357,9242.115,3766,9159.39,7212.324,9978.309,9820.812,10146.553,10517.285,3766,7100.5435,7404.536,4885.719,6140.0527,10388.793,10908.521,9352.966,7093.8154,13835.362,11661.832,9598.666,10874.065,6646.423,5811.9473,7270.6094,11542.81,5925.5635,5128.3213,6834.96,4628.2456,5578.3765,10836.666,11169.598,6473.4375,9611.824,10445.948,6710.0874,9609.672,4398.124,11854.541,11275.012,5620.839,3766,3766,3766,3766,3766,3766,3766,4999.599,3766,5188.497,4560.696,4280.8564,3766,3766,10470.916,12984.849,3766,3766,3766,3766,3766,3766,3766,3766,3766,4053.36
"4905_222.092_5.012",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,17017.266,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4907_500.262_5.028",3766,3766,3766,3766,3766,3766,15472.442,27564.652,3766,3766,3766,11963.378,16689.355,3766,18455.205,36456.996,3766,32459.996,36876.152,3766,3766,13423.545,23847.186,36545.316,3766,23926.074,3766,3766,3766,36290.406,3766,3766,34542.61,3766,3766,3766,25846.703,3766,10517.719,6372.8564,26298.479,3766,7547.5723,3766,3766,19586.39,3766,3766,10393.447,3766,5812.0117,3766,3766,14900.366,7429.8687,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4908_331.202_5.029",3766,3766,3766,3766,3766,3766,68071.96,70824.38,75381.67,77650.73,74933.22,67471.82,70418.85,75757.97,29710.13,67077.64,49178.21,71540.56,66358.78,76552.48,74283.34,21566.447,45969.79,56517.105,55226.973,46995.11,72690,70376,68772.75,62717.035,87685.71,77466.54,61464.805,72484.61,57673.55,58670.41,46450.73,74967.69,44847.41,39542.4,47587.824,35937.87,40652.855,69436.44,70554.445,40859.496,69840.49,71052.55,43308.73,66422.43,29181.846,80072.836,75932.79,39993.055,31814.016,11189.954,8580.805,11940.406,11119.429,11544.778,9399.223,35646.63,9825.781,38511.71,32614.164,33246.125,30161.771,30363.375,74008.66,85123.88,6880.542,7203.7456,8615.643,8187.153,23514.363,7048.397,13112.033,18466.807,18418.055,31371.033
"4910_430.28_5.089",3766,3766,3766,3766,3766,3766,3986.974,4338.594,3766,3766,3766,3766,3766,3766,8676.893,5161.5605,22934.652,5970.663,7174.413,3766,3766,8420.254,28784.404,5495.343,3766,27316.895,3766,3766,3766,12079.621,3766,3766,10576.793,3766,3766,3766,7163.8716,3766,36445.582,41939.57,28774.645,3766,41868.566,3766,3766,52887.566,3766,3766,40002.56,3766,28870.84,3766,3766,5212.516,35372.363,9592.851,8436.743,14365.17,19035.234,18237.338,7877.886,3766,15248.715,3766,3766,3766,3766,3766,3766,3766,3766,3766,6723.7324,3766,3766,3766,3766,3766,3766,3766
"4911_337.2_5.034",3766,3766,3766,3766,3766,3766,9948.366,10289.982,8454.497,9788.089,11913.028,9114.632,9983.522,10548.615,5452.915,8578.963,9047.248,8969.482,11770.868,12372.788,9912.594,3766,8188.7427,8401.988,3766,8289.7705,11544.091,10921.842,8927.575,10590.35,8522.343,8009.2227,12686.768,8518.425,3766,3766,8884.366,8333.067,7782.7114,8238.354,8757.447,3766,8001.7056,8512.375,6094.017,7295.664,8058.3813,7635.219,8627.4795,6042.747,6671.8057,7348.9233,6391.612,7064.1577,7366.04,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6155.848,7068.371,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4912_695.376_5.034",3766,3766,3766,3766,3766,3766,5732.502,5165.374,6902.583,8553.122,10484.79,8464.907,6163.8047,8120.885,4964.1636,7388.4497,8338.881,9829.388,13605.915,11343.963,8397.323,3766,8060.165,11645.707,3766,10608.895,11689.173,10523.012,7657.999,12554.898,7812.186,10284.103,15597.165,8010.264,3766,3766,9254.22,8012.8223,7586.7603,7050.078,7632.298,3766,8142.699,6832.1904,6862.861,7945.284,7663.33,7860.116,8807.183,8281.842,4038.0186,6522.4688,5481.087,9578.007,5331.074,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5701.1914,6347.1445,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4913_189.112_5.035",3766,3766,3766,3766,3766,3766,13584.274,13377.981,11861.49,14984.422,14976.506,12583.068,13060.745,13360.069,8910.9375,12303.653,13917.689,13048.998,15208.419,13102.054,12458.986,5310.0947,12996.39,14489.959,3766,13763.043,15440.057,14830.382,13429.927,15724.707,12343.217,13379.856,17039.521,13519.636,3766,3766,13658.386,12310.678,9687.149,12095.288,14458.259,3766,13911.291,12426.433,11892.075,11012.014,11607.37,12038.603,9637.9,10871.618,9650.773,11276.343,10847.095,10984.791,10333.056,3766,3766,3766,3844.2515,3766,3766,3766,3766,3766,3766,3766,3766,3766,11651.827,11414.554,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4916_252.115_5.032",3766,3766,3766,3766,3766,3766,3766,3766,47932.81,46472.996,45793.562,29806.969,3766,46486.598,17639.748,38520.547,37133.258,3766,36574.258,46851.727,48085.312,14900.274,38244.28,3766,3766,39277.79,47778.875,49049.062,44676.48,41068.81,57562.21,3766,41249.453,50167.125,3766,3766,3766,3766,35530.707,35026.43,33766.92,42137.156,40834.117,43547.812,3766,3766,48801.83,47097.5,38897.03,43575.28,35771.67,3766,50324.656,3766,36293.3,3766,41678.594,29292.533,33382.64,37115.855,38827.844,46532.49,3766,43961.07,3766,47821.54,50088.348,46142.688,49212.133,58732.402,3766,36010.137,31918.707,39106.46,3766,40876.24,3766,56060.223,49675.418,78249.086
"4917_404.29_5.025",3766,3766,3766,3766,3766,3766,6070.7666,6541.324,4793.8643,6088.672,4503.6357,3766,6557.132,6073.097,3766,3944.9907,3766,4910.9727,3766,4740.7964,3836.823,3766,3766,3766,3766,3766,3766,3766,3766,3766,4012.9739,3766,3766,3766,6924.872,7697.797,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4919_280.188_5.035",3766,3766,3766,3766,3766,3766,6862.1753,8644.208,10940.656,9988.203,11082.363,6465.7334,7779.6025,11521.552,3766,6997.392,3766,8842.08,5670.3584,12239.891,10553.656,3766,3766,5081.093,10538.809,3766,10965.014,10564.509,10902.099,5677.8325,14532.029,12803.231,6713.962,11790.074,8083.482,8647.95,3766,11316.336,3766,3766,3766,3766,3766,10813.128,9921.642,3766,9203.398,11482.438,3766,8864.652,3766,10581.904,10025.088,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,12275.234,12008.3125,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4921_359.183_5.036",3766,3766,3766,3766,3766,3766,221370.5,191168.16,221731.5,253901.95,274930.38,249288.48,218339.17,256240.4,189503.94,244751,261612.81,255454.36,300567,263300.22,251922.75,157364.94,261711.88,275769.94,3766,261348.1,269863.88,263049.16,250020.1,297206.06,238310.64,251966.78,306173.5,255119.03,3766,3766,256915.1,241799.16,244427.44,238802.83,253395.55,119865.836,256740.31,243479.05,352838.8,242830.77,248388.14,237490.7,245924.48,225732.48,195454.55,231053.45,205077.92,263183.25,201653.83,116732.1,103499.44,180413.97,129624.28,129911.336,105755.65,122391.78,97577.5,124653.08,136604,118985.76,117815.31,116450.13,219249.6,231413.48,65209.035,78157.04,96456.78,85590.87,148978.23,82119.234,94690.19,97011.734,89970.266,140370.84
"4922_258.206_5.038",3766,3766,3766,3766,3766,3766,88980.54,102654.26,134482.44,134604.06,133683.45,90352.32,98526.2,135494.5,39515.047,91625.875,46391.973,106654.53,82180.69,134385.83,138001.86,28697.338,44512.066,63656.3,132494.33,42993.96,130593.41,115536.13,118007.83,76618.51,148593.06,128935.02,78232.69,128775.484,123539.45,120240.03,48675.9,116903.73,39300.844,32926.992,44219.145,31209.535,33887.773,120147.38,106476.58,39611.62,112889.31,111098.195,35527.63,103275.03,24704.924,123446.766,125547.77,30794.04,26175.682,6947.67,4842.455,7122.9155,5715.629,6408.0527,4623.0845,28440.451,5456.326,34018.773,24213.975,20166.523,15778.41,18991.111,125437.19,135503,4323.881,3766,4200.245,4682.5195,11620.912,3766,3766,4438.931,5975.767,9546.648
"4924_280.263_5.045",3766,3766,3766,3766,3766,3766,26683.18,24358.113,3766,3766,3766,31061.584,37589.766,3766,83268.93,41793.566,252796.64,20599.807,34553.484,3766,3766,108130.55,434844.9,58573.95,3766,503897.47,3766,3766,3766,54132.324,3766,3766,50148.92,3766,3766,3766,37541.89,3766,369623.25,324999.38,323921.8,3766,505960.97,3766,3766,40506.477,3766,3766,465210.44,3766,335361.97,3766,3766,46675.6,310070.16,3766,3766,6466.898,17202.465,16069.263,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4926_692.363_5.052",3766,3766,3766,3766,3766,3766,3766,3766,4250.8506,6959.6406,4583.086,3766,3766,3766,3766,3766,3766,3766,3766,7206.38,8865.166,3766,3766,3766,13542.375,3766,3766,8127.423,5668.424,3766,9591.254,6963.5977,3766,6767.2417,14393.542,8922.694,3766,4985.0864,3766,3766,3766,3766,3766,3766,3766,3766,8529.299,7659.998,3766,3766,3766,11946.626,3940.4783,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9077.92,17868.695,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4931_709.46_5.043",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,17450.184,3766,3766,3766,3766,3766,3766,3766,3766,3766,11730.012,19756.479,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4932_260.237_5.045",3766,3766,3766,3766,3766,3766,211402.27,215903.08,312214.88,362948.7,397443.25,235495.72,241938.05,362112.38,235585.61,223491.42,284539.66,213838.58,302313.53,359689.12,359608.56,218240.84,263367.22,224044.45,3766,297983.4,364434.8,358284.72,316433.2,288061.84,346038.53,356679.66,331962.78,363652.16,3766,3766,204524.4,310292.3,258883.56,240033.77,273716.25,117358.1,275969.44,306422.8,273965.56,196029.73,325573.53,304979.28,218690.88,266304.34,201201.92,269016.97,261127.16,199138.81,205381.19,63991.715,46459.957,76100.26,74921.59,74486.08,40253.31,94974.85,46067.258,124502.34,117139.555,99908.16,89177.13,105116.15,294381.12,298224,11765.318,29807.244,42399.21,21420.809,71384.63,37350.684,39614.125,62962.746,56928.406,101281.945
"4933_200.237_5.048",3766,3766,3766,3766,3766,3766,39384.848,38895.266,77398.266,83728.1,91684.38,35206.32,40410.98,80559.586,32741.9,42209.906,50390.676,33589.203,43372.61,89693.83,83120.086,35469.684,61813.035,38498.285,3766,62010.324,106870.164,83754.1,74093.414,58846.223,78790.836,73192.49,45921.477,79526.92,3766,3766,38175.656,66803.88,47982.145,54348.13,60212.105,5395.323,64905.91,75828.12,63868.08,24427.459,62292.984,74782.625,52408.906,63207.785,55379.156,55101.6,54784.223,20004.21,56862.52,26279.488,14887.43,18243.436,21569.232,20280.53,18531.3,6218.332,15407.422,11670.762,9790.009,5595.045,12629.366,5507.279,68359.68,66901.195,9760.814,14565.079,12555.657,14351.556,11266.871,13429.231,9453.445,10033.796,7568.378,16369.706
"4935_743.469_5.047",3766,3766,3766,3766,3766,3766,3766,3766,7714.511,7584.3438,3766,3766,3766,3766,3766,3766,3766,3766,3766,8741.505,9473.011,3766,3766,3766,22415.9,3766,3766,3766,4179.1094,3766,5694.308,3766,3766,3766,20074.889,26846.646,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3858.2065,3766,3766,3766,3766,4136.233,6789.3066,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6605.016,7097.838,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4936_304.284_5.061",3766,3766,3766,3766,3766,3766,57116.816,53278.516,46737.13,54685.758,54338.395,57577.098,56709.38,55817.332,26169.518,52190.41,70799.375,43188.094,41471.945,68587.695,46772.246,20223.9,39657.934,39380.418,8251.715,44901.395,47643.01,39364.633,43732.348,66056.54,57385.93,59300.664,45435.336,43170.906,5157.2188,5769.749,48844.086,41568.293,48626.758,37294.72,41207.094,3913.7837,41899.34,42037.98,36784.9,24472.21,39361.453,42591.55,38709.344,38426.066,35382.895,40197.168,25136.912,24209.85,38199.293,20788.041,27707.373,25277.287,24811.295,23384.186,26476.168,3833.828,23759.057,5324.402,8067.8623,3766,5036.0503,3766,30616.297,23327.41,16572.488,13680.323,20013.83,19052.041,7677.174,17766.006,4541.377,5044.3584,3766,11050.978
"4937_323.147_5.055",3766,3766,3766,3766,3766,3766,5526.1465,3766,42733.9,4439.5996,8214.527,26490.8,3766,15784.985,13237.33,49707.12,36017.832,17178.602,24442.812,6910.5713,5673.848,3766,3766,3766,3766,4578.645,6487.242,4999.717,5574.195,3766,6058.4043,3766,36260.914,6516.3755,3766,3766,3766,3766,3958.9146,3766,3766,6556.79,3766,6186.522,3766,3766,5748.5234,5688.3813,3766,5600.577,3766,9909.601,7285.8535,3766,3766,3766,3858.5361,3766,9162.336,5272.7725,3766,12721.505,3766,6729.4976,3766,32610.377,6815.657,7013.5273,6696.493,7860.994,7011.3975,3766,3766,4580.3467,3766,3766,3766,5873.9707,5741.047,8873.432
"4939_198.185_5.056",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8148.7227,3766,3766,3766,3766,3766,3766,3766,3766,3766,6951.0396,17752.697,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4940_670.38_5.054",3766,3766,3766,3766,3766,3766,3766,3766,37780.977,40290.41,42659.133,3766,3766,36753.38,3766,3766,3766,3766,3766,44261.883,43710.98,3766,3766,3766,54336.797,3766,37933.395,34966.53,36620.043,3766,43476.637,35775.96,3766,37783.664,63447.586,58777.25,3766,31818.887,3766,3766,3766,3766,3766,35610.46,35043.266,3766,41667.062,34519.344,3766,32987.13,3766,51892.062,54770.188,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,51498.05,65430.184,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4944_313.137_5.064",3766,3766,3766,3766,3766,3766,18158.723,18538.346,34845.203,32297.123,35791.973,18062.984,17736.754,31599.6,7928.3926,17357.523,10793.484,20367.865,16274.582,34114.895,35077.793,4790.3394,11585.117,13169.703,34653.918,11307.678,33563.516,29336.227,29584.84,16830.951,40357.625,31205.855,15329.281,32086.56,33458.05,29018.672,11017.321,27543.725,10652.7705,10105.351,11311.301,20954.357,8560.924,33277.473,24895.504,8664.065,27586.041,30799.314,9215.476,28244.129,7926.5938,31125.475,27930.312,9270.663,5282.886,3766,3766,3766,3766,3766,3766,17994.525,3766,22748.412,15345.24,23138.133,17794.7,20226.758,32040.93,30067.041,3766,3766,3766,3766,14239.991,3766,8842.8,11754.892,15034.769,26426.812
"4946_374.253_5.063",3766,3766,3766,3766,3766,3766,8441.805,3766,54674.168,13705.403,12588.355,31212.71,3766,26141.473,12485.63,50275.477,30274.72,16112.615,25919.516,12121.872,12785.427,3766,5963.242,3766,3766,5667.9097,11746.71,12434.451,12131.95,5585.8228,16130.131,3766,34035.88,13785.407,3766,3766,3766,3766,4946.161,4332.109,4768.8364,6936.6465,6206.3545,11974.587,3766,3766,11704.932,12930.55,4044.7583,11426.413,3919.811,7003.7983,13584.871,3766,3766,3766,4719.532,3766,3766,4823.7046,4192.554,8385.672,3766,7475.919,3766,20978.826,8147.6826,6842.3647,12367.928,15792.592,3766,3766,3839.873,3766,3766,3766,3766,6748.7456,6655.4272,11392.723
"4947_348.253_5.062",3766,3766,3766,3766,3766,3766,33363.18,27664.04,3766,3766,3766,29319.06,34865.586,3766,19857.018,34367.426,41214.418,25197.518,41172.527,3766,3766,10653.544,52475.543,46438.652,3766,55198.44,3766,3766,3766,47189.164,3766,3766,46965.297,3766,3766,3766,45192.547,3766,55508.99,50224.484,49014.45,3766,59204.344,3766,3766,52352.05,3766,3766,54565.586,3766,47805.777,3766,3766,70725.73,44933.367,45678.39,25345.01,13295.199,41703.582,35894.86,24730.973,3766,31615.64,3766,3766,3766,3766,3766,3766,3766,9059.395,3766,31478.834,3766,3766,4344.287,3766,3766,3766,3766
"4951_427.35_5.074",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,14345.006,3766,3766,3766,3766,9794.602,7410.7944,3893.9985,3766,13431.5625,3766,3766,7539.936,3766,3766,6858.478,6167.7954,5429.617,3766,5965.1875,8232.22,3766,5605.767,6763.9883,3766,3766,8145.5327,6157.1816,10057.122,5321.211,4555.1885,3766,6915.138,15348.368,3766,4462.0894,3766,4837.7246,6370.545,3766,3766,8691.204,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6565.1226,4356.7705,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4952_312.134_5.064",3766,3766,3766,3766,3766,3766,98983.695,104492.016,185898.53,182337.23,189773.55,96384.375,100007.55,189451.1,44795.156,94034.24,65400.484,117251.98,89666.125,194716.64,197348.98,30817.848,63942.895,81220.49,256364.52,66690.19,195623.3,164091.1,172347.42,83763.14,227644.02,177340.52,89256.93,182756.28,241433.98,220629.73,68060.7,158819.31,56331.676,53617.266,69340.92,110092.055,54567.734,184979.81,150030.22,52191.832,160206.28,170427.62,57498.332,155797.58,43528.598,168270.08,178028.81,51516.785,45794.613,16972.643,12886.247,16995.635,16128.886,16119.281,12849.729,101958.55,12442.964,120523.766,88377.85,121282.54,100887.79,110787.39,185537.36,192150.31,10223.44,10786.53,12980.065,11510.926,81770.42,9999.485,54892.797,75004.19,82727.51,140038.9
"4954_474.285_5.064",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,51358.137,3766,3766,3766,3766,3766,3766,3766,3766,3766,55430.05,67609.34,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4957_414.199_5.042",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,66176.95,3766,3766,3766,3766,3766,3766,3766,3766,3766,24722.064,30760.15,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4958_234.185_5.065",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,429630.8,3766,3766,3766,3766,3766,3766,3766,3766,3766,382273.94,359314.78,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
