"","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_BS_2.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t0_BS_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_BS_C.mzML","t7_BS_1.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_BS_1.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t7_BS_3.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t8_BS_C.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"7180_717.467_5.94",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,38802.82,3766,3766,3766,3766,185931.7,42431.266,30539.512,4058.1484
"7185_751.517_5.971",3766,3766,3766,4007.841,5247.698,7467.2656,3766,5783.9287,5637.7896,32938.062,6786.1963,8554,6464.18,8591.845,5887.423,7824.7896,7795.9106,58111.234,6961.931,6414.379,7759.0825,8796.865,7713.953,8420.129,6872.5312,10275.573,7863.542,6117.331,7699.141,7198.049,7911.7896,6298.4854,7698.599,8730.33,8246.351,7291.672,4791.998,7003.2666,6452.967,8145.9883
"7189_547.301_5.933",3766,3766,3766,3766,3766,3766,3766,3766,3766,11671.65,3766,3766,3766,3766,3766,3766,24105.088,19839.36,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7192_369.326_5.914",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10535.2705,3766,3766,3766
"7200_353.305_5.927",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7205_429.318_5.916",263393.34,218298.89,174044,420107.62,427440.75,538799.75,421036.9,493129.25,507801.3,195382.55,543771.06,520667.53,528024.4,526780.25,509987.3,523917.34,198184.67,179093.44,513931.44,428783.7,502866.75,516532.47,523212.97,508226.97,513936.75,636467.1,480241.88,441440.1,426580.5,437632.47,418795.3,431846.75,403560.1,514252.8,489421.06,396958.2,404682.75,404168.6,398307.1,461617.44
"7206_301.18_5.917",3766,3766,3766,17798.273,23089.668,25900.137,19220.629,25706.611,22009.295,3766,24330.363,25019.896,20323.848,23367.854,22547.082,22823.303,3766,3766,20005.303,4065.163,13543.223,16825.326,21904.922,19996.867,15782.748,7211.1895,5813.857,5512.573,3766,3766,3766,3766,3766,17412.338,18608.535,3766,3766,3766,3766,8708.129
"7212_329.211_5.919",3766,3766,3766,13150.403,15444.587,35962.496,37976.766,14347.378,14475.473,9812.96,16031.918,15509.161,15491.49,37873.086,23396.371,15289.445,7334.7456,19442.537,27090.865,13303.187,39375.76,24306.637,15651.407,38855.633,14956.499,30034.107,16353.354,14063.216,32739.412,18702.184,36051.707,12442.76,14710.808,37462.67,16742.955,25635.496,25077.562,18382.266,15972.058,65372.883
"7213_767.481_5.962",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11170.762,3766,3766,41239.31,54907.227,12525.554,31045.896,48005.44
"7214_437.193_5.939",3766,3766,27337.617,3766,3766,3766,3766,3766,3766,12708.122,3766,3766,3766,3766,3766,3766,574019.06,82489.5,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7216_509.405_5.92",3766,3766,3766,3766,3766,3766,3766,3766,3766,112839.69,3766,3766,3766,3766,3766,3766,59302.49,160422.62,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7229_463.234_5.924",3766,3766,3766,3766,3766,3766,3766,3766,3766,83899.23,3766,3766,3766,3766,3766,3766,94936.664,49763.26,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7231_582.494_5.923",3766,3766,3766,3766,3766,3766,3766,3766,3766,253369.5,3766,3766,3766,3766,3766,3766,128868.1,382637.3,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7232_299.258_5.919",3766,3766,4323.997,32761.453,26106.604,51892.746,38732.6,47797.79,14245.498,171638.78,47410.19,64254.58,50549.85,200765.02,137423.39,15226.256,145655.67,185072.31,57783.855,10890.445,54414.918,15472.49,50299.598,15096.841,17365.22,19325.645,15767.443,12074.964,10767.34,25418.676,12522.911,11770.631,13928.896,65372.88,16450.928,10212.743,10189.689,11464.01,13527.853,25662.385
"7233_531.387_5.975",7501.8477,15834.57,11345.947,6888.5854,6560.5195,20875.648,9006.78,3766,33053.242,539730.3,10631.189,6853.954,14998.331,7983.554,13141.202,5896.409,323570.12,745901.56,6661.819,10231.871,4330.99,21317.62,8848.086,5936.474,7288.9194,9025.364,8289.928,10570.903,15508.512,16366.594,3766,8399.411,3766,3766,3766,3766,4309.7896,6596.7334,5890.948,3766
"7237_385.292_5.926",116488.87,101678.34,65823.945,186121.14,171555.06,369071.3,185090.08,360177.88,354194.97,69666.8,395245.22,385719.72,384684,388950.8,246438.14,370688.94,77087.41,68119.836,365980.66,208794.3,244395.11,238282.53,380926.88,237338.92,254227.75,230205.4,223608.19,360093.56,211624.73,210869.9,193431.88,209776.02,370180.28,253584.1,236464.16,185835.66,342731.75,188061.44,184155.97,389798.44
"7244_237.221_5.93",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7247_614.483_6.005",94935.51,95845.3,69442.49,199663,237362.1,204051.2,219487.86,198178.14,28627.418,941644.3,211003.56,178845.69,190303.83,199879.1,209867.31,179019.55,519009.66,1545361.6,195192.92,95023.2,156644.06,185502.72,221473.69,200019.39,181611.81,179927.06,129260.14,92162.516,120807.08,105961.78,105270.2,129843.625,122544.92,146292.19,161349.94,83046.11,112690.89,105858.016,109572.98,105150
"7249_412.378_5.933",3766,3766,3766,5484.718,7169.814,5441.6074,6611.9185,5239.8687,4944.1533,108752.62,6379.0723,7432.8037,3766,4752.0596,3782.6277,3766,99417.9,103714.07,3766,3766,3766,6729.042,3950.9565,4349.584,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7250_465.378_5.931",3766,3766,3766,3766,3766,3766,3766,3766,3766,125676.07,3766,3766,3766,3766,3766,3766,74478.37,243585.81,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7254_538.468_5.977",3766,3766,3766,3766,3766,3766,4306.3477,3766,6124.4707,469123.97,3766,3766,3766,3766,3766,3766,275913.94,780165.9,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7259_620.358_5.967",3766,3766,3766,12715.796,21462.748,8819.162,13344.259,10033.582,15377.109,298409.03,17377.375,12995.268,19244.44,14383.042,12951.779,12999.742,268911,344266.78,10980.576,10512.682,9135.133,16545.242,9875.43,12056.18,16713.082,14836.31,14781.172,15598.1455,9919.172,14886.63,8573.27,11799.182,12077.941,11262.753,10000.359,13847.841,13767.144,12766.696,13150.128,17796.887
"7261_1040.685_5.93",3766,3766,3766,21992.883,31894.918,102931.31,35520.676,83473.99,93683.33,27356.596,180118.9,208895,216386.12,222397.84,54148.312,147410.5,40033.94,39792.453,58267.137,10453.439,240066.84,73284.55,290577.47,293925.3,277376.97,145233.25,441176.5,3766,15601.225,4256.8374,8597.568,3974.8008,7583.3516,442503.6,464658.72,3766,5023.1055,3766,3766,13465.513
"7263_570.457_5.998",113841.91,187447.97,133766.88,385841.25,468817.3,12722.51,33681.133,7748.6553,33468.797,1365081.8,287570.9,278824.38,332951.78,225206.92,278034.56,12320.692,750954.9,1939937.2,246529.77,3766,256695.31,11477.396,295382.56,255879.12,283725.16,21204.69,15192.303,113333.14,135011.45,159117.03,149040,3766,135180.86,224121.12,239032.58,109322.53,150475.56,135862.89,3766,3766
"7265_1062.667_5.932",3766,3766,3766,15509.327,21790.549,81402.48,20894.385,68235.43,76304.94,15368.759,146272.64,172508.4,183459.05,181477.62,40185.777,116659.914,23025.408,19125.078,42627.688,9204.905,208429.3,52766.117,255661.11,265809.22,238909.33,110106.51,374881.66,3766,13212.605,3766,6358.508,3766,3766,386925.06,410356.94,3766,3766,3766,3766,10427.471
"7267_763.482_5.938",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4437.491,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11375.001,19107.51,3766,3766,3766,3766,3766,3766,17773.168,3766,3766,3766,3766,3766,3766
"7268_370.368_5.945",3766,3766,3766,20256.973,21600.895,18470.025,24353.162,19043.904,13530.64,8886.091,15347.843,23394.596,13590.521,14357.62,15772.009,16542.088,5665.4736,6187.46,18180.656,3766,13778.833,9355.053,3908.438,11738.034,11029.99,3766,4889.199,3766,3766,3766,3766,3766,3766,6971.315,3766,4022.7075,3766,3766,3766,5777.6514
"7270_1084.648_5.938",3766,3766,3766,3766,3766,15238.411,3766,7173.3555,12826.652,3766,26198.316,26983.805,32861.59,35775.09,6756.4883,20898.285,3766,3766,7671.144,3766,35853.67,10028.771,48123.87,48240.984,34487.1,20101.77,66713.26,3766,3766,3766,3766,3766,3766,68145.73,73189.88,3766,3766,3766,3766,3766
"7271_313.215_5.938",3766,3766,3766,4044.0332,3766,3766,3766,3766,3766,3766,3766,5993.1685,3766,4044.495,3766,3766,3766,3766,5344.8467,7429.674,3766,5991.281,5125.09,5261.687,4438.7207,7777.318,7791.039,8220.288,6698.0796,9290.06,9327.936,7674.355,7350.711,6612.791,5784.7715,7392.4746,8994.449,7539.4863,8311.328,8373.036
"7272_487.36_5.99",29235.725,33034.383,31235.531,8624.461,8580.279,42516.875,9528.004,36388.945,44096.113,860720.7,12693.818,29649.582,10209.357,42119.617,10963.879,9537.273,572706.56,1279010.4,21487.666,29831.914,6471.674,30345.05,4599.6562,30734.713,5458.385,54268.61,22338.018,4468.677,32573.855,19765.629,21043.396,4679.6226,31213.396,9942.692,14016.394,18268.467,38511.44,4757.4487,18435.219,14138.953
"7275_520.846_5.937",3766,3766,3766,3766,8233.474,47678.465,5911.2812,35138.797,43020.18,4489.4126,85565.42,119024.33,109950.766,104241.27,13365.161,78055.05,5930.688,4317.1616,12053.092,3766,115795.01,15070.312,162952.38,159028.58,140457.58,34113.305,236104.27,3766,3766,3766,3766,3766,3766,220378.61,226700.23,3766,3766,3766,3766,3766
"7276_353.195_5.943",3766,3766,3766,22299.832,27022.299,32306.568,27414.113,28280.959,21467.457,31049.73,32524.705,27788.465,23482.809,20784.654,23580.734,20082.195,25972.121,26943.768,18331.59,3955.5654,24602.11,21139.223,22226.512,23256.25,14974,22102.283,12400.748,3766,3766,5113.3535,3766,3766,3766,20243.404,15264.779,3766,3766,3766,3766,5360.271
"7280_619.439_6.008",57153.426,41351.652,19657.66,84681.3,98597.8,122305.24,99733.95,117632.05,113653.83,208215.14,142340.33,157167.73,137998.31,154436.3,151647.22,137297.27,109395.91,295496.75,141195.22,100138.086,134697.8,132586.25,178085.38,140459.16,128950.664,165778.9,142296.72,121480.234,109907.84,124258.766,125359.24,116183.234,129043.63,128027.84,160690.36,107958.09,125745.27,119833.31,107795.37,137949.58
"7282_421.352_5.948",3766,3766,3766,3766,3766,3766,3766,3766,3766,136230.64,3766,3766,3766,3766,3766,3766,91698.55,241425.3,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7289_488.299_5.99",3766,3766,175836.14,6887.1426,4569.134,6076.2197,9170.059,7463.517,6779.578,16083.173,3766,4937.373,5029.8726,9149.051,7366.757,5703.992,429145.34,137945.19,7425.792,3766,3766,4201.184,5340.1816,8178.8184,6024.4395,3766,3766,3766,3766,5104.0513,6382.793,7982.5874,3971.9175,3766,6498.4434,6813.9487,6855.091,3766,5988.9033,15395.004
"7291_1106.631_5.941",3766,3766,3766,3766,3766,5553.271,3766,3766,3766,3766,9042.108,11652.254,14573.788,16106.454,3766,6220.7295,3766,3766,3766,3766,15342.038,3766,20516.527,23035.734,17865.117,9120.25,31042.297,3766,3766,3766,3766,3766,3766,32206.297,33915.766,3766,3766,3766,3766,3766
"7292_349.282_5.95",3766,3766,3766,3766,3766,11981.565,3766,3766,34307.55,448938.66,3766,3766,3766,3766,3766,3766,233714.77,603458.2,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7294_400.389_5.947",3766,3766,3766,3766,3766,3766,3766,3766,12285.735,227043.62,3766,3766,3766,3766,3766,3766,103245.016,277451.06,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7296_547.806_5.938",3766,3766,3766,3766,3766,3766,3766,3766,5353.31,3766,6500.7466,8447.753,13755.858,11598.886,3766,6788.4844,3766,3766,3766,3766,12800.827,3766,16592.008,13616.846,13341.388,6666.867,25577.873,3766,3766,3766,3766,3766,3766,19756.82,20985.33,3766,3766,3766,3766,3766
"7298_457.364_5.949",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,31378.129,3766,3766,3766,3766,3766,3766,3766,47190.504,29444.844,67202.64,31584.73,48085.074,31002.883,3766,8136.1357,59651.95,61610.094,44358.5,28100.18,45165.66
"7299_479.346_5.953",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19024.031,3766,3766,3766,3766,3766,3766,3766,30800.979,20063.9,43531.723,20497.303,25291.033,21122.178,3766,6146.396,40604.586,36627.96,26223.092,17102.617,25050.338
"7301_327.3_5.948",3766,3766,3766,3766,3766,3766,3766,3766,11400.717,375441.5,3766,3766,3766,3766,3766,3766,183807.11,606807.25,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7302_690.507_5.977",3766,3766,3766,3766,36641.92,3766,57966.688,3766,17601.209,3766,56724.934,54686.44,3766,25360.07,3766,14554.14,3766,3766,13907.009,14804.807,10450.285,27437.781,3841.3472,43603.938,28263.99,43293.89,68287.99,3766,7762.1094,3766,3766,3766,35413.34,19682.156,3766,22646.885,5106.0737,3766,28561.527,20316.576
"7306_494.441_5.999",3766,4300.3057,20169.277,3766,7855.9946,3766,5502.449,3766,17217.36,535005.5,3766,3766,4158.9683,4136.783,3766,3766,371644.97,946005.25,3766,3766,3766,3766,3766,3766,3766,8089.4893,3804.8467,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7307_526.431_6.018",214543.34,262670.56,297115.56,551836.6,629499.06,531346.06,32827.195,489501.44,55090.85,1645852.5,516520.16,389038.56,474172.75,430777.75,500970.88,393534.97,907898.1,2354589.5,415720.94,13322.808,440117.44,390086.2,491839.9,465051.28,414679.94,325704.06,18189.316,258453.25,243307.66,206631.44,12100.456,245208.62,243406.72,16358.945,9447.534,7098.182,7978.455,8374.827,11181.095,4019.3225
"7312_719.455_5.95",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4545.9487,3766,3766,5336.0464,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,14623.051,28753.271,3766,3766,3766,3766,3766,3766,20387.344,6702.248,3766,3766,3766,3766,3766
"7318_300.29_5.986",3766,3766,3766,5517.117,6656.838,8543.663,12732.458,12034.972,11477.591,42189.773,9538.24,11645.562,7220.342,12320.869,11855.594,11994.962,23077.418,46141.375,6528.7573,3766,6904.616,10103.705,10550.801,9416.521,5704.4883,25768.361,4073.0876,3812.0347,3766,3766,3766,4165.671,4259.2646,7583.0977,5826.046,4152.228,4831.3037,3766,3766,3766
"7319_482.405_5.994",14759.042,29080.438,25628.238,477880.44,569300.94,5616.2334,29060.191,19126.648,45174.848,1254789.2,4688.7114,10230.33,4528.446,9731.932,353624.7,8137.143,783632.6,1910854,4738.8896,5873.9995,3861.8247,9656.788,364449.97,13401.733,363051.88,8973.471,18258.11,5736.283,5741.9927,171908.05,6339.0337,3766,4487.953,6321.221,8926.07,4566.281,4256.295,3766,9457.46,3766
"7321_1057.711_5.978",3766,3766,3766,3766,3766,6036.71,3766,4101.9536,5174.032,3766,9954.449,15394.283,11261.02,11036.99,6614.9844,6344.321,3766,3766,6461.202,3766,27427.305,7427.54,17737.277,20764.566,11705.081,17752.516,31846.348,3766,3766,3766,3766,3766,3766,52249.78,34354.562,3766,3766,3766,3766,3766
"7326_255.232_5.94",3766,3766,3766,4118.609,5301.9775,6205.8,6226.9067,8045.381,5762.93,3766,7180.1636,7490.4736,4029.4375,5316.837,5563.839,9814.4,3766,3766,3929.158,3766,7092.081,5010.865,6465.7695,5612.536,4570.353,4224.356,6518.502,3766,3766,3766,3766,3766,3766,6310.532,4583.059,3766,3766,3766,3766,3766
"7327_282.279_5.955",3766,3766,3766,39949.844,50567.496,52622.87,52931.473,48932.797,46935.24,5740.75,48981.715,46655.14,42563.35,48467.703,51547.086,46649.203,6755.6494,8815.668,42238.824,17527.914,42240.176,39325.06,41605.062,42652.39,39317.992,38742.867,33698.836,17162.578,18272.307,25015.191,18109.629,18244.031,16314.478,38961.348,29900.14,16568.025,15921.805,16387.521,14935.821,26899.15
"7330_575.319_5.96",3766,3766,3766,12500.138,40097.88,40494.09,15029.153,41363.188,21854.092,3766,42298.863,13064.02,37428.22,34704.953,37024.715,32666.605,3766,3766,10449.538,5850.272,39742.043,28773.947,32334.707,37491.004,31241.564,30888.305,17183.244,4896.11,3796.7656,3766,7381.381,5067.1763,4699.334,22020.9,32369.729,3766,3766,6014.4453,4217.6567,10170.839
"7332_433.292_5.965",3766,3766,3766,3766,3766,13317.107,5524.0303,6259.0825,7554.998,4134.6743,8828,11971.464,13439.593,9520.938,8676.551,14045.824,4244.315,3766,6507.196,3766,9395.2295,13341.65,12229.564,8523.542,9220.316,14191.456,7828.07,3766,3766,6013.335,3766,3766,3766,7959.3975,10366.6,3766,3766,5393.704,3846.3296,4729.8867
"7335_200.201_5.957",3766,3766,3766,141121.03,171835.89,181349.08,161399.88,182337.72,156670.23,3766,172811.16,175534.34,145749.6,176771.44,192491.4,199400.55,5840.9585,3766,129627.72,107140.695,148923.94,125717.9,171550.45,165263.98,131271.9,136827.89,147589.52,114146.96,102807.81,89607.766,106028.92,93963.31,99511.234,146835.66,156203.66,77174.68,71994.54,81101.23,62015.14,114914.01
"7343_608.392_5.961",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3782.4307,3766,3766,3766,3766,3766,3766,3766,3766,3807.6162,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7351_216.923_6.016",106912.58,98484.69,72208.81,63565.863,93384.02,16431.844,120852.57,49320.21,125268.96,33255.484,58434.14,22619.004,128421.94,126747.46,142239.48,65899.516,24320.918,11279.822,160267,37168.977,147080.1,72796.3,132750.22,138844.94,50082.36,143398.1,16609.035,71563.266,142604.55,133207.58,92370.984,141014.16,101421.87,130122.28,44869.57,36042.164,139057.44,137384.36,58463.766,132474.08
"7354_545.293_5.962",3766,3766,3766,3766,3766,5274.3857,3766,3766,16787.63,493750.22,3766,3766,3766,3766,3766,3766,817503.8,756700.25,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7355_562.319_5.962",3766,3766,3766,3766,3766,9918.3955,3766,3766,26866.246,768448.6,3766,3766,3766,3766,3766,3766,1203916.1,1178949,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7358_443.334_6",44528.074,50445.918,31421.402,35397.492,666536.25,44442.21,51946.305,29955.633,64353.96,849738.44,40595.82,11664.061,16119.09,23942.633,47020.562,46581.242,656817,1393878.2,46921.305,49868.848,29152.213,37002.355,781124.6,49674.05,650586.7,75746.07,34076.566,27659.537,43689.387,43601.266,21668.672,30331.691,34212.188,30471.152,44416.492,47649.62,53275.52,26869.02,29268.33,26805.426
"7361_567.275_5.964",3766,3766,3766,3766,3766,19087.863,3766,3766,46302.34,844543.1,3766,3766,3766,3766,3766,3766,1444193,1325506.6,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7362_618.382_5.965",3766,3766,25991.328,4320.8394,3766,55909.21,3766,3766,186033.69,3610125.8,5601.514,3766,3766,11713.944,3766,3766,5339809,4927899,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7363_312.289_5.943",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7364_389.266_5.966",3766,3766,3766,5384.1475,5895.63,10181.841,6540.518,9737.338,8922.319,3766,13031.274,5691.7617,8254.658,11312.988,9145.099,10447.227,3766,3766,9412.751,3766,10492.799,9572.937,7935.57,8035.2363,8971.24,9533.621,7725.126,3766,3766,3766,3766,3766,3766,8590.051,9189.612,3766,3766,5665.043,3766,3766
"7367_1042.643_5.963",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19925.658,3766,3766,3766,3766,3766,3766,3766,25252.564,23868.467,23431.527,25550.854,28442.725,20891.773,3766,3766,20300.822,18443.518,24764.465,19313.457,30797.021
"7369_731.483_6.011",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,142793.64,3766,55336.82,3766
"7372_317.268_5.963",3766,3766,3766,8489.8125,12732.492,18933.387,11149.773,12589.631,15797.148,3766,16692.934,23890.955,19130.562,128591.81,88235.555,15253.166,5070.632,12792.383,25039.635,5919.7144,21978.84,17348.734,14092.19,22238.97,19758.527,21713.566,14874.686,6404.3774,9588.341,4272.6,4822.8564,4340.9043,4220.9346,21815.895,16210.066,3766,3766,3766,3766,3766
"7374_286.31_6.006",3766,70630.85,3766,26231.336,6950.5396,4392.504,6309.908,3766,6494.684,3766,3766,10831.924,60763.33,3766,19504.398,12089.298,3766,3766,31162.781,8803.915,29965.42,8736.027,27536.066,6384.4424,6542.1514,14006.032,3877.482,32678.598,32245.348,5717.4233,36736.055,8233.514,20307.434,30125.053,5556.3584,4208.579,9079.723,56461.3,21760.795,40758.844
"7378_527.282_5.964",3766,3766,3766,3766,3766,3766,3766,3766,3766,84568.63,3766,3766,3766,3766,3766,3766,132728.55,148619.95,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7380_226.951_6.02",226361.27,209571.39,99694.6,91867.39,61841.07,173710.31,217082.19,292956.4,117340.2,59536.99,294450,202275.34,383364.8,306120.16,73490.05,201387.88,36300.42,23142.576,216146.25,135916.19,460646.62,368995.22,90066.37,425815.1,376208.25,296071.22,385708.53,107230.984,104792.664,194104.25,127390.64,198501.06,209130.14,369692.12,339370.47,189789.86,300975.25,219543.64,148873.88,293541.38
"7382_675.429_5.964",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4671.6978,3766,3766,5707.661,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,13209.971,27362.258,3766,3766,3766,3766,3766,3766,19376.344,4791.1147,3766,3766,3766,3766,3766
"7384_240.268_5.966",3766,3766,3766,3766,3766,3766,4134.043,4521.9116,4085.652,3766,9509.79,43496.047,22839.092,7045.024,13472.035,17745.977,3766,3766,33785.74,3766,25329.58,46336.15,47648.04,43386.06,47976.562,37676.91,61751.688,3766,10425.933,4706.466,3766,3766,3766,77246.64,42390.93,3766,7575.019,15005.086,11245.858,13288.603
"7385_283.274_5.966",3766,3766,3766,3766,3766,4806.89,3932.1826,7479.3047,5114.144,3766,14666.324,70042.38,32853.094,9835.061,21306.814,25841.215,3766,3766,52106.523,4094.8674,33199.39,76885.375,74566.12,81202.54,76490.414,70182.89,106908.4,3766,15121.98,7262.85,3766,3766,3766,126147.65,66706.91,6291.4727,13081.026,26360.7,20191.932,20820.11
"7390_376.318_6.007",4025.6787,3990.7603,3766,21427.436,4783.8984,56442.684,5804.006,5373.6157,20914.693,7967.8403,10815.26,5718.206,13050.752,5849.602,6471.0625,6138.911,13133.089,8165.906,30148.896,32991.887,83955.56,80430.164,96459.8,11945.446,27344.254,18065.018,9618.394,9382.943,6453.9756,9917.48,5375.1807,11386.652,25374.318,12806.137,6418.787,10868.095,8256.454,6873.6816,9877.756,9613.02
"7400_411.219_5.97",3766,3766,3766,3766,3766,3766,3766,3766,3766,53250.688,3766,3766,3766,3766,3766,3766,73841.45,81601.69,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7401_745.499_6.031",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,73144.69,8865.494,187694.5,3766,3766,161837.52,238612.19,182474.69,249884.53,234664.22
"7403_1002.608_5.959",3766,3766,3766,15141.455,17323.338,20936.51,19702.629,18685.504,17939.25,8006.9717,20386.357,25717.807,21843.764,29589.584,26627.76,23593.846,10461.641,10483.977,24172.602,6096.8525,24051.053,27663.912,32549.445,24574.88,16837.164,31760.643,26371.37,7058.8076,6298.8555,3856.6929,3766,3766,4171.0522,29476.879,34755.293,3766,3766,3766,3766,3766
"7406_631.402_5.979",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10722.095,20919.668,3766,3766,3766,3766,3766,3766,14107.381,3766,3766,3766,3766,3766,3766
"7411_980.628_5.955",3766,3766,3766,24472.01,31898.537,32588.914,37355.7,28227.51,32072.254,17313.379,36002.883,43426.95,36302.53,32373.676,39054.152,37629.14,27888.002,28314.982,40442.363,11599.857,33477.08,39389.332,43723.363,30255.543,31456.277,43309.21,35846.1,14493.314,12096.704,9164.085,7566.3184,9055.5625,8440.801,39842.547,50368.016,3766,3766,3766,3766,5806.6367
