"","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_BS_2.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t0_BS_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_BS_C.mzML","t7_BS_1.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_BS_1.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t7_BS_3.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t8_BS_C.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"824_188.107_1.773",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4779.807,3766,3766,3766,3766,3766,3766,3766,5416.7173,6081.42,7359.262,6086.361,5838.0015,4985.1562,3766,3766,7127.3086,10069.241,6918.334,7340.3643,14621.873
"825_508.251_1.781",3766,3766,3766,3978.6821,3766,3766,3766,3766,3766,3766,3766,3766,3766,9853.227,3766,3766,3766,3766,3766,3766,5780.8354,3766,5280.326,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"826_231.096_1.781",3766,3766,3766,61250.785,61605.555,64785.18,64109.59,65365.004,65857.97,65838.875,63796.59,65604.13,63914.316,67978.484,67974.055,63726.848,62035.562,60720.152,69455.64,67648.55,64111.7,66166.016,65084.785,64444.19,63881.23,69322.87,64214.35,74770.41,74124.75,79398.98,86063.77,90738.57,80852.164,67357.984,72754.91,93438.07,124194.18,130693.05,107742.25,170410.34
"827_229.1_1.782",3766,3766,3766,1560932.8,1559254,1638788.8,1586363,1635984,1635308.8,1605002.8,1603683.6,1659874.4,1602319.2,1725838.5,1678667.2,1623528.9,1635838.1,1511395.5,1723155.2,1688011.8,1590730.1,1684703.4,1657216.4,1689575.6,1575707.4,1762437.2,1654381.1,1921075.1,1834378.6,1978302.8,2148203.8,2212747.5,2009260.2,1703721.2,1816021.5,2300272.8,3026643.2,3133923.2,2684531.2,4263520.5
"828_181.097_1.782",3766,3766,3766,321426.2,322468.97,332233.8,321320.7,332105.53,329539.28,331034.75,323491.7,340342.66,324761.75,352504.75,348297.22,330497.75,335197.84,308196.4,354004.56,335799.62,325235.8,344990.72,339058.25,345670.5,317480.06,358311.6,338036.8,376799.8,357110.2,386359.56,411633.2,429099.2,384329.9,351751.6,371545.94,442782.6,574631.9,598150.1,514259.6,797749.2
"829_251.082_1.783",3766,3766,3766,43455.188,42935.25,51347.754,44208.58,51549.656,51938.523,37113.914,52479.79,60713.566,56822.117,55922.33,58954.77,54116.715,36967.855,33599.758,63810.95,48563.484,58218.973,64130.305,63448.703,66185.85,60711.684,67695.31,66228.54,54480.215,51400.008,57488.555,60730.035,60185.02,59237.87,66294.47,67145.29,63565.848,84072.555,85077.375,76412.1,105183.43
"831_210.112_1.789",3766,3766,3766,38161.83,38800.06,38431.04,38342.914,41410.53,39405.23,35812.633,40563.76,44048.48,40699.535,42020.38,42889.984,42041.086,37595.85,35766.508,45588.41,72859.1,40621.266,45810.91,48194.45,44517.96,40164.383,55439.477,48526.133,78467.07,75718.48,80468.68,81691.75,83903.45,77362.75,49443.44,58821.016,86406.62,88350.53,91825.15,85569.49,126785.17
"832_185.148_1.815",3766,3766,3766,3766,8799.14,10730.286,3766,13377.206,12122.085,5027.8833,10789.245,14494.582,3766,14024.754,21654.318,19390.912,21511.408,12564.429,16640.107,12841.531,7862.405,8455.223,3766,7064.8804,3766,13520.317,8408.82,10547.418,8766.039,13960.698,14902.065,22541.996,13730.167,19899.033,12063.131,14040.425,17919.523,19573.79,15245.809,30216.457
"833_334.088_1.8",3766,3766,3766,15823.313,15765.019,12500.448,12599.098,10740.361,17152.656,20193.9,15362.424,7830.4453,11472.694,11561.6045,16760.242,8153.118,14062.788,16905.758,8273.501,10569.92,16190.072,8986.315,3766,3766,8645.963,16457.908,9414.173,5004.959,7487.31,5278.2812,10860.194,12879.122,5809.199,12174.925,15581.765,9868.391,11946.093,7788.7544,7413.353,10543.243
"834_203.118_1.79",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"836_185.128_1.798",3766,3766,3766,3083003.2,3038660.2,3313773,3141265.5,3313927.2,3312441,3518526.2,3308570.8,3448406,3327697.8,3567483.2,3514843.5,3353467.8,3337835.5,3063279.5,3601429.2,3144846.8,3300160.2,3527967.2,3419470.5,3525613.2,3283351.2,3680058,3449502.8,3497705.5,3388984.2,3550237.5,3779041.2,3760167.8,3462857.5,3601122.8,3785927.2,3877096.2,4097944.2,4342145,3884369.2,5988647.5
"837_157.134_1.799",3766,3766,3766,79007.164,78722.98,86048.48,81182.51,86238.6,84985.516,92023,84277.09,88532.39,85725.92,94044.69,91089.05,87962.69,87046.7,79313.46,91781.3,79729.01,83643.375,92380.555,90599.15,91123.984,84177.85,96334.33,89805.445,90973.51,87282.625,91659.12,98173.82,96512.73,90177.48,92502.76,96545.03,97834.734,107240.73,111057.35,97877.945,151031.53
"838_185.109_1.803",3766,3766,3766,19031.652,17968.707,21030.162,20079.582,19880.06,19069.588,19917.166,11560.259,20677.258,15931.702,21944.465,20901.588,9962.11,18453.164,18041.598,20682.31,17604.11,19242.926,20635.812,19474.297,19648.037,17083.066,8434.88,14884.581,20198.32,19831.434,13207.725,22705.547,21720.01,20594.342,21076.037,20890.059,23119.566,25093.164,25179.736,16116.374,8088.751
"839_215.117_1.852",3766,3766,3766,22346.41,9016.964,10720.151,17906.258,4607.262,16332.365,13377.757,4901.3486,10710.427,22064.955,30342.447,25967.562,27293.863,10946.918,5799.283,19725.633,14189.515,28296.799,38675.363,18553.766,38050.035,27355.06,42074.203,36370.66,4707.8584,8837.021,5623.0815,16958.87,9369.243,13311.937,10165.166,23735.605,33968.68,43360.934,39798.594,40568.996,67472.82
"840_185.148_1.805",3766,3766,3766,17735.908,16914.61,17011.963,17006.75,19278.848,18741.525,21609.426,19538.66,19233.695,10150.214,20026.87,21254.71,18882.367,21097.803,17686.328,22054.006,16992.783,18612.693,18572.309,3766,19570.713,18181.646,21492.922,18261.453,19463.209,18890.838,21412.146,21839.31,22217.594,19591.64,19356.996,20967.307,22557.834,22842.4,24644.525,23215.824,36570.28
"841_326.079_1.803",3766,3766,3766,3766,14052.201,18486.133,18317.88,12612.603,18093.725,25809.367,18284.135,11894.41,17721.96,20414.818,19635.787,19911.764,24396.908,18483.848,20184.977,11871.073,19109.014,19729.668,17080.396,20194.605,14257.632,20303.492,18730.115,9679.454,11164.395,15559.625,17789.934,16523.525,13703.973,18612.03,20266.824,10743.016,10437.095,20860.723,17726.424,26040.19
"842_225.122_1.814",3766,3766,3766,64218.29,55643.87,66352.04,61203.492,73618.29,67958.33,64173.254,68537.77,106550.04,76785.28,73791.62,73870.61,81677.75,67158.32,61022.484,95218.83,381671.8,80681.09,127683.77,151438.23,113226.15,104026.74,130798.84,165873.45,446801.7,417471.9,483211.97,511856.1,276146.7,462163.6,171766.7,246013.02,489208.22,548359.9,627411.25,528232.25,852389.2
"843_217.134_1.821",3766,3766,3766,3766,3766,20341.717,3792.7612,5251.299,3766,3912.4307,7484.8823,11816.323,8633.269,15290.414,16422.225,4996.5825,9559.591,5580.1143,6243.1904,42458.86,12201.491,18682.63,6125.8003,5057.3364,10878.588,8144.207,4984.725,55153.555,48755.65,59242.59,55858.098,72097.586,56028.668,3766,16229.678,44845.613,120311.34,100166.375,101598.04,155904.95
"844_266.09_1.803",3766,3766,3766,14361.403,16020.97,19011.66,15910.538,19975.318,19463.305,5658.4565,19791.273,22513.59,22852.168,22916.25,22993.387,21411.527,6801.9727,4566.075,24124.984,17842.97,21903.117,25391.387,24179.23,24991.566,14306.488,17257.393,26370.504,20649.602,11870.577,13196.848,18443.814,19138.82,16010.026,26134.613,27985.03,21191.139,20417.662,23369.625,13166.534,15301.949
"845_249.124_1.763",3766,3766,3766,10415.911,11515.304,11400.054,16479.652,35198.527,11252.578,12719.941,35937.812,11156.042,19364.152,10013.286,17142.441,22710.148,17930.148,11612.824,26569.393,26476.291,22897.445,36086.734,5654.7305,10459.289,11230.51,37381.52,39460.7,12829.975,35436.418,24142.242,15500.562,13803.5625,14717.466,45730.13,45732.75,15903.494,19863.1,18476.97,17412.67,21913.383
"847_218.137_1.805",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3830.8967,3766,3766,6380.325
"848_380.264_1.805",3766,3766,3766,3766,3766,3766,3766,3766,3766,52444.777,3766,3766,3766,3766,3766,3766,56766.266,46263.22,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"849_185.113_1.832",3766,3766,3766,8276.764,7035.244,8511.995,3766,6171.43,5284.637,6066.1235,9157.566,5017.6523,4527.6377,10629.378,7422.559,5987.1875,3766,5789.161,3766,3766,3766,8646.487,3766,6429.675,3766,3766,4991.8296,7911.458,3766,6960.1797,12988.517,7327.834,3766,9922.239,5788.162,5704.081,9203.107,10025.481,9621.863,9076.835
"850_244.108_1.806",3766,3766,3766,158496.06,161199.03,167430.6,165824.45,164823.9,171135.53,131025.03,164158.61,164666.02,161172.48,181008.16,172392.7,166627.16,147212.98,141457.1,174875.2,152982.27,159076.83,167764.73,166206.8,166555.39,157829.83,179263.36,166929.98,169895.69,165760.1,173170.95,179783.56,175952.33,163106.05,173346.33,183692.6,178765.3,182573.39,190136.11,173124.7,269507.38
"851_259.115_1.81",3766,3766,3766,144120.3,139860.27,171558.45,146858.12,169576.45,172005.64,150480.83,173670.55,195416.53,186022.31,176628.86,187513.38,176373.55,162958.81,155353.61,202960.17,138477.42,184476.83,205632.38,200195.75,213461.12,197709.48,215763.44,202275.48,153700.19,151898.73,159670.14,170629.36,164605.94,151809.3,218374.45,209504.89,172580.38,189196.92,191699.28,178627.36,277669.22
"854_226.125_1.811",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,32176.041,3766,3766,9226.306,3766,3766,15608.794,8707.306,41337.656,38419.777,44702.75,47866.883,50000.945,42434.61,8287.549,17892.248,49512.863,53646.996,60964.617,50132.16,81471.195
"855_254.16_1.814",3766,3766,3766,56417.246,57643.53,56785.855,58091.242,54539.547,56570.758,76854.66,51655.266,55084.07,51947.1,54998.492,55639.457,52693.445,79587.08,81915.195,55744.938,46152.715,51682.1,55876.312,52881.777,56282.246,54064.28,55538.453,50116.93,49556.49,48290.676,54713.773,47809.742,49160.418,44624.832,54026.656,52068.535,50573.64,52343.816,54588.355,48760.008,79483.766
"856_158.118_1.822",3766,3766,3766,28916.451,26347.78,26947.508,27705.969,28891.844,26267.846,29263.34,25844.287,44017.438,31943.744,29355.045,31069.68,34360.95,28930.598,29391.99,39164.09,209519.12,30521.824,51454.36,60235.703,41342.254,42151.465,73471.01,55598.707,238870.12,224021.34,254369.48,252024.38,259378.95,233110.17,57874.73,84114.6,264142.88,255956.95,281408.97,247268.06,398016.44
"857_225.122_1.809",3766,3766,3766,17259.92,7451.594,20296.297,14592.782,31407.012,22692.068,7084.4346,27856.81,84646.99,56297.383,36033.85,49759.152,53815.17,4534.6772,3766,74502.58,382068.75,42170.41,118553.71,133314.62,90570.87,70082.46,196467.14,154114.94,449657.84,419597.25,483640.8,513434.03,531138.44,464021.66,144937.48,230309.39,546196.4,569492.25,632024.5,535935.7,866125.4
"858_455.213_1.806",3766,3766,3766,10083.442,3766,3766,3766,3766,3766,3766,3766,3766,3766,17257.531,3766,3766,3766,3766,3766,3766,12068.677,3766,14885.839,3766,3766,3766,3766,3766,35219.355,3766,3766,26953.504,3766,3766,9213.041,3766,33402.07,30490.799,14639.763,19839.91
"862_276.228_1.82",3766,3766,3766,10933.595,9403.603,7539.4326,9036.587,10736.816,9496.613,12921.166,7535.6025,17841.23,9864.919,8025.551,11488.628,12955.571,12788.076,12742.295,7110.0083,114703.96,6829.278,19736.42,23812.611,14028.134,13529.997,27684.729,20360.568,124097.75,116363.11,136055.12,117033.18,117873.13,109099.39,20293.45,32742.744,123359.84,104058.59,110831.42,100060.07,144406.17
"863_203.139_1.815",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7189.1445,3766,3766,3766,3849.216,3766,3766,5290.483,75840.586,3766,12155.295,13132.0625,6685.5747,5452.3716,19704.703,12939.423,87770.17,82728.69,96855.89,91028.08,97480.02,83623.46,13383.553,22327.8,100416.48,94230.27,101019.305,87316.04,141969.3
"864_296.197_1.818",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5527.215,11227.74,3766,3766,3766,3766,3766,62380.38,36204.754,58506.383
"866_327.134_1.824",3766,3766,3766,56893.906,55992.297,58083.69,58572.19,58373.35,61596.13,29786.186,57272.695,57801.49,56883.99,64995.906,58224.492,57426.402,47269.3,47279.734,61147.918,54043.984,56254.05,61399.984,55734.77,58185.59,52859.562,64578.836,61393.32,57852.29,55485.234,37052.203,61759.516,62540.043,56970.42,61329.668,67874.97,61096.97,61363.97,63820.19,57151.707,95173.83
"868_160.076_1.825",3766,3766,3766,30272.418,30738.566,33831.7,34084.473,35005.24,34323.492,26170.662,32692.43,36350.004,35692.418,48621.09,34480.99,37157.59,28546.322,26450.559,36886.42,46789.535,36848.992,34837.434,37494.1,44408.473,34264.47,39641.336,46133.355,53008.918,57189.42,46085.83,89318.9,71173.45,80472.016,45860.008,44546.508,77434.01,97812.945,125672.555,114093.96,192975.22
"869_178.086_1.827",3766,3766,3766,33720.082,33523.793,37703.68,36732.1,37754.344,38414.92,29772.799,37758.387,37915.83,38231.32,47051.195,38105,37684.934,29040.861,27434.434,37323.64,46572.043,38600.598,37821.367,36961.668,40767.164,37071.273,40733.457,39929.74,53236.066,51861.39,45093.195,88509.805,76394.27,72835.88,43092.29,47682.87,67446.2,96495.64,121587.734,112956.04,192964.81
"870_185.144_1.85",3766,3766,3766,3766,5477.4785,3766,3766,6459.008,3766,3766,5782.257,3766,5525.8403,3766,3766,3766,3766,3766,4417.6963,7965.575,3822.6633,3766,3766,3766,3766,3766,3766,5702.7544,7438.873,6901.1484,3766,3884.0054,6452.5483,3766,5354.324,6093.422,7314.1646,9748.389,5298.074,16244.773
"872_243.134_1.793",3766,3766,3766,82865.41,84076.62,87945.195,34615.87,35063.184,90650.82,41968.76,82480.64,75689.57,74561.05,89419.875,24250.336,27973.488,112278.96,111483.19,25531.604,14885.648,52830.12,24076.01,29616.572,42101.895,43405.082,36640.816,114920.79,10261.497,11255.103,9281.744,10436.568,17941.643,10739.535,124407.305,164050.06,8261.408,12581.012,6894.264,19331.281,31521.262
