ID1,ID2,EdgeType,Score,Annotation
4744,4746,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9922
4744,4746,MS1 annotation,4.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9922
4745,4746,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9803
4745,4746,MS1 annotation,4.000,[M+Na]+ [2M+2H]2+ dm/z=21.9803
4749,4756,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
4749,4756,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9823
4769,4776,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9572
4781,4784,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9565
4805,4806,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
4805,4807,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
4806,4807,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0038
4815,4816,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
4860,4861,MS1 annotation,2.000,[2M+Na]+ [M-H2O+NH4]+ dm/z=219.1470
4875,4876,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9563
4892,4893,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
4892,4895,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9827
4893,4895,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
4915,4921,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
4915,4925,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9562
4921,4925,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9825
4930,4931,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
4930,4934,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
4931,4934,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
4975,4979,MS1 annotation,3.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9934
4975,4985,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
4979,4985,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0375
4979,4985,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0375
5007,5008,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9931
5012,5013,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0263
5012,5014,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
5026,5027,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
5054,5068,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9836
5056,5061,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9826
5105,5115,MS1 annotation,4.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9922
5105,5106,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9546
5105,5116,MS1 annotation,4.000,[2M+2H]2+ [M+Na]+ dm/z=21.9811
5106,5115,MS1 annotation,4.000,[2M-2H2O+2H]2+ [M+NH4]+ dm/z=35.0376
5106,5116,MS1 annotation,4.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0265
5126,5130,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
5126,5130,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9930
5156,5158,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
5156,5159,MS1 annotation,3.000,[2M+2H]2+ [M+Na]+ dm/z=21.9823
5158,5159,MS1 annotation,3.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0263
5167,5168,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
5174,5175,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
5174,5175,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9825
