row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t0_BS_1.mzML Peak area,t0_BS_2.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_1.mzML Peak area,t0_Ec_2.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_C.mzML Peak area,t1_BS_1.mzML Peak area,t1_BS_2.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_C.mzML Peak area,t1_Ec_1.mzML Peak area,t1_Ec_2.mzML Peak area,t1_Ec_3.mzML Peak area,t1_Ec_C.mzML Peak area,t2_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_C.mzML Peak area,t2_Ec_1.mzML Peak area,t2_Ec_2.mzML Peak area,t2_Ec_3.mzML Peak area,t2_Ec_C.mzML Peak area,t3_BS_1.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_3.mzML Peak area,t3_BS_C.mzML Peak area,t3_Ec_1.mzML Peak area,t3_Ec_2.mzML Peak area,t3_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t4_BS_1.mzML Peak area,t4_BS_2.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_C.mzML Peak area,t4_Ec_1.mzML Peak area,t4_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t4_Ec_C.mzML Peak area,t5_BS_1.mzML Peak area,t5_BS_2.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t5_Ec_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_Ec_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t6_BS_C.mzML Peak area,t6_Ec_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_Ec_3.mzML Peak area,t6_Ec_C.mzML Peak area,t7_BS_1.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_3.mzML Peak area,t7_BS_C.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_BS_1.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_C.mzML Peak area,t8_Ec_1.mzML Peak area,t8_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t8_Ec_C.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_C.mzML Peak area,t9_Ec_1.mzML Peak area,t9_Ec_2.mzML Peak area,t9_Ec_3.mzML Peak area,t9_Ec_C.mzML Peak area
64,245.0953691,0.51951474,,,,,,,,,,,0,0,0,0,105098.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60493.59,0,0,0,68410.98,0,0,20048.074,0,0,61229.266,0,0,0,67825.43,0,0,62141.04,0,0,0,0,0,0,0,0,0,0,63450.434,0,71027.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34075.53,0,0,0,0,0
68,182.0290426,0.51968694,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30438.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,181.0970838,0.5202799,,,,,,,,,,,0,0,0,0,75002.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46208.46,0,0,0,50114.707,0,0,16139.823,0,0,43597.742,0,0,0,51684.332,0,0,47373.645,0,0,0,0,0,0,0,0,0,0,0,0,52428.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31561.912,0,0,0,0,0
75,157.0971369,0.5211073,,,,,,,,,,,8836.821,0,0,0,10152.913,14823.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7924.04,0,8736.579,0,0,0,0,0,0,0,0,0,0,0,0,0,14335.186,0,12547.31,0,0,0,0,0,0,5982.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14589.145,0,0,0,0,0
76,158.9613465,0.5212368,,,,,,,,,,,0,0,0,0,0,0,0,0,84038.06,0,0,0,0,0,132914.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89776.84,0,0,150747.66,0,0,227910.6,0,146792.14,0,0,0,114963.97,0,138664.9,0,0,0,0,0,0,0,0,171839.17,0,217352.64,0,0,0,150827.53,0,0,0,0,0,0,0,95063.945,193367.1,0,0,0,0,0,0,0,0
80,166.1029205,0.5221535,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11774.105,0,0,0,0,0,0
81,160.0756499,0.5225867,,,,,,,,,,,404429.66,250721.6,0,0,304328.34,412781.25,183770.88,0,401620.97,0,0,0,151759.14,0,0,0,0,0,0,0,0,343029.94,0,0,0,593663.9,0,0,144607.38,0,0,329247.16,0,523318.78,0,567389.25,0,0,355598.12,247149.9,0,0,0,0,0,0,0,0,0,954094.75,0,775052,0,0,0,0,0,0,645107.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050392.2,0,0,0,275424.5,0
86,169.0970705,0.5260965,,,,,,,,,,,800889.44,592457.5,0,0,741372.4,888572.06,540843.4,0,665166.5,580351.9,0,0,0,0,620459.44,0,0,0,0,0,0,686544.8,0,0,0,706034.3,0,0,453367.34,0,0,702895.6,0,732600,0,776639.7,0,0,716681.6,507097.62,0,0,0,0,0,0,0,0,0,893395.44,0,869086.94,0,0,0,0,0,0,0,0,0,0,852338.94,0,0,0,0,0,0,0,0,0,0,0,986138.44,0,0,0,903869.4,0
89,299.0615815,0.5277212,,,,,,,,,,,0,0,0,0,0,0,0,206237.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,318.1843985,0.5298988,,,,,,,,,,,223605.94,0,0,0,139332.52,195599.3,76569.79,0,95765.99,66008.99,0,0,24406.703,63646.945,81481.336,0,39513.543,0,0,0,137294.88,67755.55,98435.42,0,0,76976.53,0,0,22599.83,0,0,62674.03,0,58181.91,0,69526.8,53159.79,0,62973.17,29426.156,0,0,0,0,0,43684.74,0,0,0,67408.29,0,68529.49,0,0,0,0,0,0,0,0,71221.9,0,46362.133,50802.438,0,0,0,0,0,0,0,43765.18,32669.13,0,31603.72,0,0,0,0,0
