"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"3712_558.421_9.908",202874.8,204565.45,208954.78,239644.31,233600.83,236097.66,162262.25,170812.53,171882.97,155725.98,154493.4,165755.55
"7318_560.416_13.547",7408.6426,4934.79,2302.3735,10108.998,14028.979,2620.3745,0,0,0,0,0,0
"2001_561.277_6.887",21238.807,19960.582,21189.719,145295.45,170581.62,142917.25,12804.989,12634.024,16330.502,14643.684,14949.775,14743.022
"4206_562.155_10.744",161414.36,164272.7,183956.81,72425.984,65744.445,76608.28,138167,128913.32,138869.38,125988.11,139159.34,144468.66
"5239_562.323_11.889",39164.08,42066.566,38966.695,77443.22,78432.27,94914.38,0,0,0,0,0,0
"5115_563.287_11.743",0,0,0,0,0,6137.201,0,2027.3698,6438.914,0,0,0
"6166_565.304_12.581",0,0,43530.18,0,0,0,0,0,0,0,0,0
"6265_565.304_12.612",71196.38,68659.51,76569.016,0,0,0,0,8921.352,10999.647,0,0,0
"1702_566.428_6.539",1066656.2,1128738.6,1092795.5,827942.9,869724.2,859977.8,1042226.3,1033170.06,956393.3,1020837.56,1035692.44,1029095.4
"7360_567.296_13.653",0,0,0,0,0,0,0,0,0,0,0,121724.06
"4005_568.421_10.492",81645.375,74412.21,78047.93,68124.984,77342.4,79012.88,48016.812,45119.65,48221.773,33000.047,33441.94,37650.188
"5230_569.299_11.88",0,0,2736.5352,0,0,0,0,0,0,0,0,0
"1287_569.314_6.147",50985.062,62068.793,72039.88,81188.016,82655.79,90170.58,46034.562,51165.773,49621.83,41111.965,44082.637,57028.77
"3199_570.166_8.712",78958.61,87437.766,88261.05,116833.42,120582.5,127344.195,43252.887,51165.016,44604.875,31792.021,41779.113,45532.953
"1060_570.23_5.888",35669.203,40229.875,37692.29,0,0,0,17058.836,25763.963,20034.516,11545.372,17469.572,16180.065
"655_570.276_5.242",78948.88,78364.42,81307.64,81173.59,68857.445,68917.71,66818.58,50811.312,61529.523,69853.06,60658.754,58080.23
