"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"4212_161.132_10.749",0.00025308760453243,0.00026099885553519,0.000244249282034588,0.00014029153741297,0.000173412624282078,0.000181771756153265,0.000363174009757104,0.000269224201214065,0.000253257799898315,0.000266628071135223,0.000334196216763543,0.000320127044500382
"4456_161.133_11.056",0.000242962705647175,0.000252206418480446,0.000246220042451073,0.000322854709968489,0.000278410527225187,0.000300566017721032,0.0003981150665628,0.000239487564082539,0.00028039585917767,0.000307589776971768,0.000292971076065673,0.000265525669214967
"1581_162.055_6.419",9.46919763263264e-05,9.9443825660788e-05,9.34056260257249e-05,0.000142885907967294,0.000164558612816154,0.00014229032955323,0.000111608133368752,0.000107526785260774,0.000112987073957905,0.000105928103101847,9.97513811242439e-05,0.00011738040457567
"375_162.055_3.133",0.000144051419081009,0.000157681091415082,0.000102560357422108,0.000100440328032463,0.000101739883951482,0.000108406185692137,0.000179256110060701,0.000175618082955071,0.000182238840441859,0.000184704277706997,0.000212925080973689,0.000192205359467388
"6373_163.039_12.677",3.82808254890903e-05,3.6541601744093e-05,3.41486811008148e-05,9.72549890008778e-05,9.42644709807388e-05,9.87391619028595e-05,2.90421161805878e-05,2.85265653333598e-05,3.14646973442666e-05,1.6174001218445e-05,3.27866762462895e-05,2.81422368990897e-05
"3083_163.039_8.423",0.000706972386921052,0.000735585635526886,0.000776019309467625,0.000376992950830707,0.000397646892900761,0.000401020970857933,0.000842448587785038,0.000771808333846441,0.000789213206813656,0.000821954074361867,0.000875524174055441,0.000832196403646254
"4639_163.039_11.261",0.000181840538817608,0.000186184098023751,0.000204157708743345,0.00032612515106214,0.000329242873043764,0.000347834074549547,0.000233829155801524,0.000214848422534205,0.000221031917889962,0.000258625982412324,0.00027359136750819,0.00024086758622636
"3594_163.112_9.656",0.00037826073582915,0.000351001650000122,0.000337584849754198,0.000796683580786259,0.000781493495432228,0.000750434628808474,0.000164873881484965,0.000185289389856523,0.000196633362106323,8.26377304115176e-05,9.81018010112546e-05,4.7095840676343e-05
"6064_163.148_12.506",0.000332579518200482,0.000422232509331051,0.000401485427696661,0.000479930230702899,0.000470174256278371,0.000438115765089669,0.000431373713305041,0.000351341875938219,0.000352630849475586,0.000263196545788778,0.000398069220872511,0.000397965805066061
"4058_163.148_10.547",0.000188142740350543,0.000199568602354183,0.000187847438349006,2.15769086208084e-05,2.43161377898756e-05,2.43631851872725e-05,0.000199324430068351,0.000212785760075471,0.000199850903693658,0.000190804653215462,0.000238454048202875,0.000238789114248347
