"","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"23712_417.155_8.967",8115,8115,8115,166360.73,174009.39,61099.77,464578,174029.31,261339.53,121624.805,38109.22,136725.77,141002.88,141794.53,122581.414
"3531_417.237_5.69",8115,8115,8115,19961.842,17777.176,23106.004,62773.234,62422.574,59909.62,12724.62,18044.914,17567.686,19197.916,19182.059,16321.136
"4616_418.221_5.931",8115,8115,8115,38429.977,61514.258,70893.305,54207.97,79145.98,99512.805,46264.074,63208.523,53900.02,42553.938,33490.867,42448.027
"7163_418.221_6.405",8115,8115,8115,80745.195,90876.87,63546.938,138787.05,106866.01,123027.05,36259.375,36812.547,67509.875,66632.52,24537.69,48238.484
"615_418.234_1.805",8115,8115,8115,159132.05,157870.2,157892.03,118658.055,114553.14,117030.07,133939.95,127959.266,124411.1,130495.83,119637.58,118853.75
"28169_418.282_10.108",20705.285,19564.967,19202.252,8115,8187.743,9473.983,29289.625,30324.297,17802.535,8115,8115,8115,8115,8115,8115
"29271_418.282_10.456",301874.2,368088.7,256180.03,175602.47,181679.36,175257.16,252333.16,303003.44,268411.5,24535.7,22118.305,29180.783,8115,8115,8115
"27213_418.282_9.846",31869.264,30684.03,29311.512,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"27683_418.282_10.029",27226.477,29374.09,31483.771,8115,8115,8115,10551.029,8115,9011.15,8115,8115,8115,8115,8115,8115
"38840_418.296_13.345",8115,10400.449,13691.301,34743.92,10851.02,20019.695,173075.38,83112.09,154432.08,8115,8115,8115,8115,8115,8115
"38442_418.317_13.117",8115,8115,8115,231758.8,211588.67,192784.3,200108.97,198609.94,193389.47,165607.83,153049.48,173309.84,156472.27,164236.34,139616.33
"19671_419.17_8.273",8115,8115,8115,365857.84,2875337,357775.84,151836.25,388771.2,383633.6,208765.02,2997276.5,309805.47,2593586.2,2707131.8,280670.6
"17490_419.17_7.987",8115,8115,8115,2954071.8,332809.8,189471.36,77810.14,344065.5,345925.72,2756418.2,283917.4,294559.66,289762.16,152294.44,2687776.2
"20521_419.17_8.383",8115,8115,8115,349424.88,230860.28,312091.44,138953.8,418247.06,419640.56,287436.22,290251.97,2707977.8,285002.12,146464.44,285867.28
"22761_419.17_8.789",8115,8115,8115,167416.7,332629.72,2753085,461983.9,358985.62,452226.6,267825.38,266707.75,276218.03,273740.16,256986.25,274519.5
"15018_419.182_7.594",8115,8115,8115,15508.911,14034.506,8115,39913.152,28462.518,12967.029,8115,8115,9171.777,8115,8115,8115
"27790_419.207_10.022",8115,8115,8115,181969.94,200332.4,207484.23,327900.44,320062.2,300011.78,165823.23,150006.9,155770.7,162583.58,288352.28,97427.93
"30710_419.265_10.748",44607.566,29782.504,46363.438,75938.06,63966.156,66431.516,246058.81,226248.66,182173.05,14589.399,16670.223,14954.886,8115,8115,8115
"39577_419.373_14.503",25550.943,23786.979,27835.193,8115,9411.193,8955.602,33166.8,32824.54,38896.64,8115,8115,8115,8115,8115,8115
"173_420.148_0.808",8115,8115,8115,65536.84,70245.05,56763.99,18170.209,38281.62,60155.656,43458.688,46275.77,49757.117,51863.027,45608.156,49194.766
"8768_420.238_6.667",8115,8115,8115,199355.16,189373.9,134684.8,246513.73,235122.84,201659.31,291173.25,150350.84,138360.55,126866.1,138795.97,134292.08
"30258_420.278_10.642",8115,8115,8115,75087.71,113475.34,87807.95,276762.72,266833.8,293252.84,48417.902,47379.617,32885.773,8115,8115,8115
