"","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"8028_275.139_6.545",8115,8115,8115,82503.96,86067.04,75669.18,129172.266,75755.766,113188.36,130527.36,79053.89,53813.336,64974,73440.81,67302.7
"5312_275.139_6.076",8115,8115,8115,117897.3,136985.77,73184.09,166565.97,147384.12,177866.67,62138,132068.33,121466.3,105170.92,150163.39,102811.06
"3884_275.139_5.766",8115,8115,8115,72243.984,87876.94,105839.71,61389.965,86375.63,75178.664,74351.21,91456.07,67747.984,88186.77,76073.73,82000.086
"3286_275.139_5.634",8115,8115,8115,106923.44,83351.445,101850.75,76897.23,67017,93668.89,130039.22,139356.66,74779.34,128297.516,122412.14,86172.05
"1839_275.139_5.171",10147.076,10816.126,9183.699,85079.7,99360.266,93114.92,67796.234,49520.555,55820.68,78609.97,77951.81,118473.266,107564.66,101024.77,75680.7
"1354_275.139_4.947",8115,8115,8115,189222.5,162365.34,122309.64,185660.39,195235.19,144679.39,116635.48,128056.12,79965.33,90820.11,122223.55,128743.984
"3977_275.16_5.784",59808.535,43061.92,8115,62570.152,65792.94,58681.66,229356.62,230623.69,193400.86,33791.46,21516.156,27886.129,26247.488,27189.414,24564.965
"2008_275.16_5.254",18700.469,17835.926,16186.134,53676.99,51687.26,43806.97,272269.88,253170.48,206908.27,23825.48,33087.434,21570.945,23917.498,19779.385,17225.08
"2690_275.16_5.469",212542.98,220677.39,193100.9,176008.16,180336.48,180691.73,644306.4,659104.44,708971,39920.418,36990.797,34054,8115,10752.145,12483.255
"1663_275.16_5.059",449642.6,467503.2,453764.75,411136.3,446121.47,475277.28,2567992,2586911.8,1966584.8,120283.27,103588.56,109697.3,54937.668,33885.355,58115.19
"3101_275.16_5.584",1037153.5,1036154,1040564.2,563079.5,597069.8,584400.75,1060624.1,1077591.6,1005277.3,148086.66,143424.52,141070.25,40382.09,46670.87,41085.617
"1289_275.16_4.904",274421.03,278374.1,259513.06,437523.4,458810.16,468094,396296.97,400913.06,431958.34,119158,135019.38,132111.78,27410.623,35474.992,34529.527
"32990_275.164_11.358",8115,8115,8115,335588.38,120926.96,206224.61,301451.53,794401.25,407110,172656.72,97163.29,228066.12,78489.664,56308.895,60805.61
"33628_275.164_11.559",8115,8115,8115,170950.2,135322.94,130784.87,171794.25,208111.31,159312.83,113697.93,102945.75,99248.69,92745.73,78862.85,98281.79
"36826_275.2_12.579",118127.79,97830.61,125364.33,510471.44,468917.66,483535,812227.94,865658.44,867872.75,325969.66,201462.66,324045.47,41753.785,96904.16,119450.695
"34204_275.2_11.693",122051.59,260707.94,110688.29,164964.1,200932.31,250477.38,486718.34,487580.84,359233.38,120972.65,53435.902,119771.39,81494.34,129405.76,105170.89
"36440_275.2_12.489",75385.016,78825.336,75475.766,138469.05,155428.56,125620.766,248156,241013.89,266878.06,107380.48,175445.86,103636.36,134502.2,149340.69,228248.6
"37511_275.2_12.787",87195.58,84971.86,95202.94,293582.06,399124.78,294899.34,415898,284188.62,383763.53,98939.02,68475.76,45387.16,86995.5,32987.527,55181.8
"34937_275.2_11.976",89809.734,195625.67,131840.34,226872.48,136359.27,116694.18,215171.92,64139.523,53280.14,61409.28,78419.76,53183.76,34821.82,99505.055,47649.65
"32131_275.201_11.122",204998.4,203927.69,236558.38,159445.2,182259.16,104660.84,202874.83,186621.3,207672.14,55925.402,39991.133,45921.617,10748.587,18647.814,38924.727
"35208_275.2_12.061",103707.26,101835.41,80108.88,134480.66,119202.65,114250.3,416441.22,457014.75,430346.72,82801.8,57773.98,48086.227,49391.723,43994.434,53350.348
"582_276.108_1.511",97945.375,98200.11,98987.59,23664.95,19733.064,20667.45,27390.799,23832.32,21982.08,8755.491,9229.898,12207.069,8115,8115,8115
"369_276.108_1.04",38156.67,48821.027,45579.09,21211.52,13113.62,10834.383,8115,11864.846,8854.274,11530.259,9746.186,23198.469,22099.422,14231.206,11152.102
"708_276.126_3.008",8115,8115,8115,26078.836,15604.974,25264.643,8115,8115,8115,29614.041,25342.334,43418.73,41911.555,48678.426,73368.14
"10983_276.134_7",8115,8115,8115,148004.45,157668.97,169661.64,1481606.2,1498925.1,1505719.5,115654.94,100369.805,118158.26,128213.98,120881.36,119456.09
"1217_276.16_4.821",8115,8115,8115,60318.88,63603.527,63074.363,56137.703,58579.207,178286.19,68883.13,67143.51,40902.492,69028.87,66008.234,68861.734
"895_276.16_4.437",8115,8115,8115,234938.44,258708.88,217068.2,396245.22,243877.69,226054.2,215931.11,214333.31,219839.11,244539.44,201884.25,211918.69
"32972_276.196_11.35",156755.88,138287.38,145972.03,39725.797,42229.996,35270.883,82456.805,79318.87,106424.95,10008.818,10599.122,11726.774,8115,8115,8115
"17349_276.196_7.931",52447.777,53747.51,54790.074,12025.23,10252.371,24087.61,72637.34,26062.824,38597.83,9099.503,8115,10275.387,8115,8115,8115
"33441_276.268_11.49",165214.53,126548.09,146564,43453.14,41392.023,41258.195,141322.5,120533.16,142023.77,8115,8115,8666.49,8115,8115,8115
"78_277.09_0.784",2807978,3016677,2902619.5,198682.78,182178.19,392170.12,3206764.2,2994074.2,4065426.5,35507.492,79433.24,93494.625,34611.156,45933.1,36474.414
"372_277.09_1.026",24276.375,74339.14,102686.36,21528.137,8115,21969.611,31650.162,44492.9,55428.67,8115,8115,8115,8115,8115,8115
"3373_277.118_5.648",8115,8115,8115,108311.14,85314.77,81953.09,76017.95,80860.97,90962.07,54077.195,82216.125,82010.32,74212.914,75503.61,73706.61
"610_277.118_1.765",8115,8115,8115,51445.26,68507.83,69786.22,48219.297,42756.242,57723.86,59825.812,68905.32,75539.95,57942.137,62371.496,66641.27
"972_277.118_4.556",8115,8115,8115,160799.4,158238.4,178011.56,210368.86,206397.88,242216.4,193908.72,154725.2,234953.53,188273.36,199672.03,216093.64
"654_277.139_2.146",8115,8115,8115,16851.186,22658.836,21070.975,115823.04,117283.71,126152.98,8115,8115,8115,8115,8115,8489.135
"24118_277.143_9.078",8115,8115,8115,162046.9,168845.42,220301.64,151887.14,174959.94,188166.38,172108.97,138588.48,242089.5,167354.55,118277.12,132545.27
"5944_277.155_6.177",8115,8115,8115,214190.83,143466.75,229716.36,258927.56,186727.98,157506.5,223187.61,167555.88,180440.92,142014.4,196057.95,146107.8
"33582_277.18_11.555",8115,18990.938,11569.557,284322.44,147791.52,146122.08,136605.11,157245.48,183494.6,220848.66,91055.734,99216.71,107963.11,189502.1,226046.25
"34157_277.18_11.665",13263.071,8115,8115,86865.9,61688.562,56771.26,27972.91,82483.91,30736.422,72544.75,55534.812,64593.344,25490.865,74387.9,51258.547
"35498_277.18_12.151",10921.0205,13775.385,16273.855,44734.957,77459.2,36307.48,108609.41,127495.734,140645.19,49870.85,169860.47,130715.05,147813.55,33281.65,62404.59
"36994_277.216_12.632",162592.47,169070.72,172954.3,392262.34,281677.44,418018.7,472297.56,771578.25,773742.25,247544.53,236245.64,191396.19,226377.34,206045.55,218250.6
"36136_277.216_12.352",234773.77,225323.02,74975,261906.61,253221.97,225735.67,589020.25,719141,580728.2,109891.87,128863.09,128656.45,149465.52,94355.2,100812.03
"33145_277.216_11.421",335899.62,366227.47,307890.44,189169.36,164481.16,170306.92,396735.84,362435.44,541813,41833.945,55066.336,75390.23,34970.215,21128.766,22414.936
"37629_277.216_12.843",147167.27,139301.39,147550.1,184413.22,195442.86,174927.36,623306.25,545692.75,647755.94,112837.63,103647.21,148705.81,68935.234,78509.02,78222.45
"34591_277.216_11.828",137709.17,125756.414,191136.61,73011.54,80626.32,74519.336,217020.56,284798,194306.25,61965.965,58571.45,34125.52,48186.63,35762.824,33178.453
"35329_277.216_12.11",744485.6,744268.7,518287.34,261259.19,265114.62,305976.56,364657.3,379616.25,442261.2,70214.16,143307.03,161521.03,52693.125,51224.094,23080.416
"35680_277.216_12.221",736234.2,524842.6,561891.44,130886.44,129532.44,110404.81,223210.62,208139.23,229171.28,220411.94,64270.438,56084.117,47847.844,103904.05,140373.84
"38251_277.216_13.044",478061.84,479492.84,425254.84,388886.6,451462.9,512815.1,2843894.2,2790412,2282851.5,129149.914,199389.33,155677.47,46973.574,39560.293,59768.164
"29171_277.216_10.436",72317.35,62258.12,69743.76,8115,19639.834,16630.725,98257.68,155466.73,102767.75,8115,8115,8115,8115,8115,8115
"38758_277.216_13.261",102543.66,55540.39,64720.965,80555.766,70469.65,65717.4,522657.34,384579.53,218918.62,40889.273,30383.914,44687.277,24288.26,12736.299,27244.883
"260_278.093_0.775",270587.8,302781.28,287848.16,47152.086,41177,40119.418,343211.06,359917.94,129597.68,8115,8115,9210.305,8115,8115,8115
"4641_278.139_5.932",8115,8115,8115,86532.39,107728.66,66261.25,102418.984,75051.7,106029.984,81242.02,86014.93,63261.383,67674.195,48277.28,56258.695
"3979_278.139_5.792",8115,8115,8115,165100.66,165726.69,148210.11,223173.3,188340.48,197040.58,405065.56,155893,163855.22,124550.91,72950.63,76891.76
"793_278.139_4.145",8115,8115,8115,238053.75,96502.516,97592.87,89945.09,90982.586,90890.766,251093.81,81079.95,71264.09,81273.92,144374.92,243784.1
"1084_278.139_4.718",8115,8115,8115,225377.67,476945.5,459898.97,447287.25,108342.67,414275.4,113816.85,710472.2,394858.12,377075.47,236152.9,140579.06
"688_278.175_2.614",8115,8115,8115,368602,380935.66,392344.53,383383.3,403797.1,412126.2,272571.5,275981.7,253744.83,259833.11,221114.33,269994.34
"22328_278.212_8.714",51728.008,45549.88,49435.13,25525.041,31121.459,22761.531,95947.016,140828.38,92376.55,8115,8115,8115,8115,8115,8115
"24519_278.212_9.177",95650.78,103275.695,100070.984,26488.12,24952.855,30139.365,101144.06,94945.266,93009.54,8115,8115,8115,8115,8115,8115
"18403_278.212_8.097",46145.77,40449.188,46348.78,8115,12241.373,8115,16633.305,16430.924,16196.632,8115,8115,8115,8115,8115,8115
"1092_279.087_4.723",8115,8115,8115,45640.844,49325.758,52044.133,32162.36,30380.223,45276.203,50178.812,42420.305,49901.695,42913.656,50185.43,56497.86
"17583_279.123_7.943",8115,8115,8115,192088.94,62972.5,178240.77,194852.86,103627.266,410442.12,108370.76,788553.8,152239.22,157977.4,640709.75,151078.44
"19204_279.123_8.21",8115,8115,8115,685886.3,176109.77,159205.5,103387.56,233121.78,221024.42,153888.19,214105.14,181214.42,187509.95,150109.61,157072.66
"3182_279.134_5.587",8115,8115,8115,99932.14,124179.086,115680.38,73117.055,131938.16,123810.35,54730.594,80768.445,50465.902,126847.39,94668.3,80552.01
"2245_279.134_5.334",8115,8115,8115,293847.72,238105.16,203684.27,219379.45,174271.39,216359.81,189366.61,189428.1,185487.58,133355.31,187946.92,194291.73
"722_279.134_3.228",8115,8115,8115,71608.164,64687.562,66045.12,194000.47,62005.746,69631.51,57601.383,69241.586,51638.246,49512.402,60123.82,58936.453
"1466_279.134_4.998",10547.9375,10446.156,10314.32,349551.5,852226.44,415647.44,822519.94,809472.75,388052.66,325176.4,308784.8,310527.75,340400.9,762981.25,283167.75
"757_279.134_3.799",8115,8115,8115,157258.05,156245.69,170230.56,186195.27,215400.8,383762,85602.33,143565.39,158570.72,138183.56,154647.56,136897.5
"998_279.134_4.593",8115,8115,8115,438691,132587.58,432968.1,151941.83,134705.3,322117.56,290386.2,455506.47,296555.06,281644.6,115374.19,297719.56
"789_279.134_4.105",8115,8115,8115,98428.16,97189.57,101118.34,83501.69,77872.3,131432.39,269496.75,90952.85,153911.22,142578.48,82042.85,143587.19
"1685_279.134_5.103",8115,8115,8115,167309.75,144422.77,128792.62,147796.12,170445.19,144859.12,141319.95,147797.33,118344.56,120526.516,153426.45,135960.7
"30921_279.138_10.8",8115,8115,8115,15588.821,27851.383,8278.065,41131.19,28040.998,36817.242,38944.855,9884.124,14766.722,10472.204,18399.375,19667.783
"27609_279.138_9.962",8115,8115,8115,45373.965,40888.598,52318.46,28149.316,41329.176,51368.184,15730.252,32626.893,31962.027,36616.6,35251.207,35052.25
"31882_279.157_11.056",8115,8115,8115,224972.08,216761.86,256611.92,191209.75,221164.5,240853.47,173533.22,231035.48,212608.3,202046.56,206709,220855.69
"28055_279.157_10.085",8115,8115,8115,83494.63,75591.125,70824.23,73476.97,52918.504,46164.594,64811.41,69124.24,68726.766,79159.836,78838.54,79794.48
"31157_279.158_10.844",8115,8115,8115,58977.285,106360.16,77268.65,77758.49,61461.7,27358.8,78625.94,62042.65,48623.39,72055.09,58304.1,33743.9
"28570_279.158_10.245",8115,8115,8115,113136.28,129441.74,184397.6,182586.86,88824.734,126354.734,94701.32,145612.4,145266.86,81856.164,90295.89,102211.79
"32389_279.158_11.184",8115,8115,8115,53394.285,71073.88,94313.29,85458.87,113086.016,50500.043,88676.94,57628.633,83308.3,83990.78,71403.91,59933.16
"39602_279.159_14.701",57193.25,60944.695,55959.133,26704.01,35518.16,31453.443,38105.973,46027.492,45680.273,11527.231,9209.586,13232.48,8115,8115,8115
"29247_279.159_10.416",8115,8115,8222.701,150506.9,121092.29,196655.88,131579.17,169664.64,198623.84,148276.34,148283.38,108006.305,125303.234,111582.414,102446.51
"30409_279.159_10.68",25480.926,11914.03,22721.602,126078.78,176057.45,164581.31,113197.695,227775.42,203691.17,148209.6,103901.92,125183.16,110681.805,137957.89,99826.29
"7791_279.17_6.503",8115,8115,8115,89144.42,121426.39,114220.16,167151.7,174041.1,162801.61,75048.664,81319.07,73275.23,81056.88,69900.3,57948.69
"5159_279.17_6.044",8115,8115,8115,109206.95,112301.21,138017.06,111552.1,124180.445,120240.17,113155.94,69796.46,112818.625,106415.71,113250.88,121496.555
"3789_279.17_5.749",8115,8115,8115,47066.656,46972.395,41538.227,69441.06,80351.14,85620.45,33696.777,23896.088,42101.445,31335.121,34148.16,40443.758
"33876_279.195_11.594",10299.34,8115,9145.265,324393.47,443004.56,440375.3,1129107,1158475.2,1163024.1,358526.34,338048.28,352612.34,328670,328298.12,340053.75
"36775_279.195_12.557",8115,8115,8115,172385.86,184512.02,166582.05,372178.47,366645.12,243852.52,113869.64,128041.86,109172.1,95981.484,98215.63,119386.9
"36296_279.195_12.418",8115,8115,8115,192340.38,117182.62,139894.03,207110.89,311666.34,369907.25,84848.62,95299.766,94857.25,131422.22,77862.31,67205.76
"35129_279.195_12.01",10116.359,8724.674,10851.532,180783.23,283432.34,185017.58,309696.8,405097.8,202411.56,147027.67,128141.125,134654.11,155938.33,131581.84,111556.445
"35645_279.195_12.203",8115,8115,8115,187344.31,157594.78,152150.95,231147.8,147704.94,219288.17,104384.56,124579.3,110071.31,84563.086,86243.97,118050.49
"34450_279.195_11.767",8769.019,16555.898,15349.867,326772.4,275316.06,305189.25,925444.94,938227.56,801207.9,226529.7,250142.48,214528.22,214020.44,193526.25,203040.75
"32730_279.195_11.272",8115,8115,8115,127940.76,123833.4,146070,135798.3,77159.12,110209.13,87122.64,109708.79,76859.08,106364.14,62154.367,73564.19
"34755_279.195_11.904",11750.38,27223.41,27513.623,87749.46,109390.92,95853.65,287501.53,304003.97,217674.33,109127.9,61714.67,63785.15,80763.836,76489.54,63930.715
"33373_279.195_11.465",10094.044,8115,8115,88012.04,100791.945,98857.484,116091.25,114413.66,103542.984,78570.32,55726.547,95224.92,66708.3,71593.58,88980.69
"37578_279.232_12.759",133543.94,82899.516,263751.44,150179.38,75759.8,68403.01,108817.65,213959.66,265836.6,76611.766,45946.234,60102.83,46380.598,40418.047,48492.258
"36075_279.232_12.357",284336.94,295131.9,255140.06,113737.89,108429,102632.734,173142.31,182921.16,231566.75,64573.652,64975.203,72286.38,67938.44,52848.055,55497.906
"38019_279.232_12.954",88921.766,68789.516,81525.67,65346.457,124239.734,28671.793,159921.25,104024.1,137753.92,50968.465,76935.39,62660.695,84231.79,68608.9,89564.22
"38479_279.232_13.13",102467.97,103257.766,102940.8,96711.414,115509.484,316037.88,1055143.5,2395649.2,2416851,151526.77,80037.62,122292.1,30916.176,58758.266,48572.246
"36605_279.232_12.52",1062049.6,489918.4,795763.9,415358.1,445324.8,369135.44,664142,537067,430484,255138.23,242705.25,297484.53,224770.89,98074.56,179850.33
"33926_279.232_11.643",68036.93,100955.48,125837.89,28884.543,35622.668,42393.824,64388.35,36445.137,62498.11,37656.617,40688.312,29418.293,16741.35,28871.117,14566.054
"38783_279.232_13.298",557436,601607.25,537259.9,386084.44,322441.78,377672.3,835414.6,719593.94,485056.72,105772.945,72789.266,96452.055,38111.336,41617.734,55644.055
"34734_279.232_11.889",83930.38,92436.9,102535.695,225487.2,172300.9,250745.34,217355.36,266862.84,86079.52,179960.03,179126.02,135640.12,116576.02,82848.83,109422.04
"39112_279.232_13.535",36131.39,37870.996,54803.844,95591.52,35810.47,50657.426,168127.06,270010.47,175055.23,48238.273,21298.975,33764.043,26847.398,27509.863,20817.36
"39566_279.269_14.483",31359.348,26168.062,29404.678,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"1327_280.104_4.926",8760.07,9565.694,9574.88,402228.75,428819,420406.78,662906.9,687342.4,671829.94,236742.06,242370.95,245756.44,216039.89,219546.56,204522.22
"1602_280.118_5.112",8115,8115,8115,231168.31,183057.28,243697.92,150876.17,105007.25,159742,67673.64,227813.19,98226.35,95645.55,95954.4,91871.95
"4802_280.118_5.968",8115,8115,8115,65040.53,74289.5,68574.72,173427.52,347053.1,80686.18,135018.6,92842.17,151215.86,209368.25,127876.734,141625.67
"1010_280.118_4.632",8115,8115,8115,159602.3,148565.03,77609.28,76534.07,82613.45,55083.336,133458.7,127978.86,114847.47,100315.484,97482.5,147725.12
"338_280.139_1.025",8115,8115,8115,46732.312,73625.78,76448.61,70688.57,161587.2,48546.38,58366.184,65060.47,73993.086,95440.57,33829.97,24658.127
"115_280.139_0.804",8115,8115,8115,66050.7,84013.914,97299.98,107574.13,82534.68,78570.67,52515.312,67721.58,53711.633,60014.305,41486.246,63506.035
"9417_280.145_6.786",46447.637,50425.49,43442.43,8192.355,8115,8115,18394.453,13535.502,20801.086,8115,8115,8115,8115,8115,8115
"7257_280.154_6.411",8115,8115,8115,57556.996,63542.16,54191.906,48147.5,60129.312,87713.1,54349.664,47400.645,45479.62,38270.457,48954.39,80306.05
"552_280.154_1.418",8115,8115,8115,67913.336,68770.75,67428.52,49316.832,49028.93,49869.03,80432.02,101720.71,218800.17,77378.79,82618.15,55254.23
"4764_280.154_5.953",8115,8115,8115,232049.4,137071.6,197214.69,771101.7,129604.67,163393.34,107642.86,234883.61,320921.94,77656.88,116189.95,98737.11
"3925_280.154_5.783",13738.094,12016.208,19207.521,102121.586,144986.77,96346.766,124430.24,600877.4,253674.28,217340.08,84350.72,85732.84,86343.8,43909.832,88128.05
"3091_280.154_5.575",8115,8115,8115,282943.88,53667.156,118861.055,110949.9,118259.15,87055.375,70176.81,89064.04,68835.016,78081.19,104860.586,91247.63
"2744_280.154_5.483",8115,8115,8115,106689.17,248858.9,233933.5,122360.52,108157.086,109542.64,71764.07,108752.48,64120.016,91717.89,82042.2,77092.34
"23379_280.158_8.908",8115,8115,8115,99800.21,105366.54,103425.27,59258.48,65657.23,73133.26,81807.64,97412.19,86588.02,87418.76,100466.34,92549.54
"29759_280.188_10.546",17467.89,17661.88,20111.441,227947.39,259235.64,219984.34,20325.463,24357.46,27142.613,194941.86,225723.89,218002.67,219542.55,230645.33,212613.98
"2869_280.191_5.505",8115,8115,8115,101194.414,115746.79,105108.82,112128.56,116055.23,91237.99,113616.836,104292.07,89667.984,92251.63,90892,86891.38
"2068_280.191_5.282",8115,8115,8115,222744.14,412001.28,201778.61,432115.5,443266.1,441289.56,165386.67,142634.12,316098.47,308869.5,151318.12,146881.89
"16187_280.191_7.753",61171.953,46953.957,62280.113,67357.54,65817.555,45143.62,229289.66,218720.03,242717.73,12213.584,19975.63,16869.652,8115,8115,8115
"1765_280.191_5.16",8115,8115,8115,168815.23,128726.664,186033.94,105202.945,109318.086,125393.58,153102.78,163311.27,102705.49,95892.74,159537.61,152756.88
"829_280.191_4.286",8115,8115,8115,63936.11,111530.4,85256.46,86449.85,89219.31,106579.21,100190.086,66153.32,90842.15,66363.76,271585.34,66674.41
"783_280.191_4.057",8115,8115,8115,208994.84,222601.81,232485.64,158974.16,183554.77,196491.56,183770.28,178115.31,173616.17,167319.81,72448.266,169647.2
"38553_280.235_13.157",31181.38,26294.701,20636.383,18535.607,27049.441,23063.773,301613.44,452484.94,395249.8,8115,8115,8115,8115,8115,8115
"32240_280.264_11.151",8115,8115,8115,134844.56,143584.11,139763.25,162346.62,169900.06,174980.28,147541.38,143014.77,134855.36,131046.75,145463.1,143474.27
"11730_281.1_7.109",8115,8115,8115,84395.234,87345.46,66642.99,86831.77,82934.04,86033.33,57458.1,66867.31,76081,56243.336,67683.86,76982.34
"23424_281.137_8.908",362051.94,372901.75,363622.6,32914.773,23676.574,21463.51,46885.82,54057.355,80258.61,9350.318,11755.045,22440.684,10619.611,21843.793,10173.146
"24737_281.137_9.209",69566.16,76449.89,61560.53,18317.924,10330.197,20643.027,8115,8115,8115,20567.992,20351.742,8349.189,20969.219,10369.449,8115
"27511_281.136_9.924",9498.27,11227.176,8115,284644.44,271203.9,290182.7,246075.62,264857,273484.62,262038.42,235294.89,255732.3,210566.6,246030.39,204346.97
"6793_281.137_6.34",16318.717,16341.486,15875.059,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"26267_281.136_9.582",8115,8115,8115,125472.83,130559.75,110502.13,103475.2,78144.4,97161.69,99202.68,120412.14,110510.41,102820.81,99806.61,90462.375
"3978_281.15_5.791",8115,8115,8115,143164.81,137222.52,114468.64,179263.28,198863.45,222930.58,113686.97,128134.27,110107.89,115558.68,139446.16,92810.8
"3120_281.15_5.588",8115,8115,8115,71841.44,95462.336,117378.68,110517.24,83965.516,144936.94,62718.57,77638.734,49467.37,80525.97,50574.926,89517.14
"672_281.15_2.274",8115,8115,8115,506382.62,433637.75,465729.1,323532.25,336519.72,335420.28,393997.03,395347.75,480747.4,464668.8,482967.66,394219.34
"1625_281.15_5.08",8115,8115,8115,115639.44,189169.5,187957.69,175443.9,171142.69,243214.05,98427.83,147867.94,117544.2,143394.7,149373.56,102758.69
"894_281.15_4.437",8115,8115,8115,109677.57,125030.46,264480.56,307911.2,259540.75,252125.94,191186.84,111655.82,214534.27,229882.1,141636.08,227622.58
"1250_281.15_4.871",8115,8115,8115,250695.88,222376.62,221218.53,249241.58,247419.55,203343.83,133792.86,197230.53,190488.33,175527.02,194501.08,181886.36
"27861_281.154_10.041",8115,8115,8115,55667.52,80394.57,68010.29,69301.08,53484.965,62216.848,52194.227,86763.05,77407.75,38200.805,43024.277,87335.62
"35379_281.175_12.139",8115,8115,8115,203977.25,244595.44,212450.66,540675.25,523801.2,547940,164022.81,160317.48,151041.56,158589.44,162260.67,174259.19
"31105_281.175_10.847",11508.457,17463.521,16104.881,144039.62,140823.61,138911.81,99572.39,121634.41,94423.67,123921.57,137769.44,109223.32,105868.47,102081.87,103227.05
"32552_281.175_11.231",8115,8115,8115,133390.77,97847.836,119547.33,57824.156,90471.5,106921.02,120222.125,91575.17,107364.07,145412.1,95953.5,108332.33
"31718_281.175_11.012",8115,8115,8115,386131.12,426442.06,386296.8,298151.62,298193.94,268796.03,215458.69,300207.06,314997.16,278620.22,322899.78,280648.97
"35497_281.211_12.147",31187.934,51190.145,52633.65,291563.06,284000,398870.97,489707.34,469994.7,503302.2,417256.53,270656.5,116511.86,253993.25,187327.88,260553.03
"36089_281.211_12.347",36984.83,9743.817,8230.496,166264.5,147331.61,164015.8,1044436.4,1039570.5,947821.06,61954.97,104065.19,92474.91,137463.16,59208.797,77123.11
"480_282.095_1.235",8115,8115,8115,18877.174,51466.25,40666.45,8115,8115,8115,8115,15671.4375,29186.398,8565.179,23535.54,20408.422
"1049_282.134_4.673",8115,8115,8115,49616.527,56707.71,69331.66,54798.43,45300.477,50355.277,57263.137,53729.25,62575.57,54037.39,49914.484,52935.97
"643_282.134_2.074",8115,8115,8115,53217.15,48703.652,48825.992,14826.03,30959.777,30704.693,167570.89,170376.28,174272.23,162420.38,174672.38,177337.56
"750_282.17_3.69",8115,8115,8115,64745.023,60235.324,62704.824,41852.195,111462.11,28825.021,52361.277,52614.055,46291.89,54943.75,53479.62,51272.1
"693_282.17_2.734",8115,8115,8115,67162.93,67786.72,70012.766,42046.332,41644.617,42901.547,66423.88,69318.125,60769.69,54936.086,129630.44,66202.08
"2753_282.17_5.48",8115,8115,8115,78571.02,74512.6,43939.863,87199.45,115944.01,103220.06,50116.22,53689.03,34040.344,53239.848,62886.05,52455.75
"2090_282.17_5.291",8115,8115,8115,97070.484,326147.8,105101.77,188097.69,378398.28,87408.266,78951.35,78906.04,84400,196069.17,169380.88,63695.105
"1589_282.17_5.08",8115,8115,8115,86295.18,74738.03,235412.53,209993.78,96979.516,102622.305,70666.29,98128.664,75679.875,73625.88,72915.4,104983.18
"702_282.17_2.891",8115,8115,8115,66211.4,67288.87,71099.87,37925.824,41174.18,41855.758,65339.855,66286.586,55769.91,55317.75,65451.71,246438.94
"982_282.17_4.563",8115,8115,8115,424676,525715.25,536139.8,332357.97,379103.78,371791.2,342180.47,352474.3,426727.16,213219.58,335956.56,234840.06
"3107_282.207_5.668",8115,8115,8115,194361.39,220869.48,225723.84,286284.53,144499.36,149733.98,123261.08,161160.03,134945.62,164184.83,152888.73,122426.695
"33442_282.28_11.49",8115,8115,8115,37252.258,44388.332,40291.89,168446.95,154258.31,150013.06,37377.812,39958.984,35051.223,49955.527,48200.53,53447.18
"472_283.053_1.213",8115,8115,8115,37825.883,38507.54,38369.633,68538.445,74500.336,66254.375,33451.727,32383.25,27748.938,25388.61,30872.725,28202.854
"12868_283.063_7.272",8115,8115,8115,55052.363,61743.75,66298.6,42166.883,38608.88,41519.715,72543.98,78471.12,75384.4,65822.18,69475,68605.41
"778_283.129_4.001",8115,8115,8115,25936.072,46558.05,41263.92,91641.65,95435.94,67358.65,32195.818,35909.195,35134.523,32926.867,28366.596,39464.043
"20408_283.154_8.394",8115,8115,8774.94,134248.16,126783.33,122753.75,99970.93,120782.695,86155.7,135550.28,84893.516,118900.86,118996.79,120011.02,160963.89
"17029_283.154_7.887",28112.05,27009.783,28583.879,51380.43,66110.84,59130.668,39256.555,12809.815,50104.484,31396.559,62854.965,59266.418,47640.207,35935.66,59738.22
"996_283.165_4.62",8115,8115,8115,30994.764,38355.695,56055.594,30965.617,26212.188,21681.875,26566.838,33961.746,29841.89,31573.13,28980.984,25896.66
"925_283.175_4.498",173819.19,182814.08,182762.64,769878.9,855692.25,822087,947736,982897.2,973741.3,672802.6,711664.4,708920.8,685582.7,683541.56,675475.06
